"","Fiscal.Year","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014"
"459",2013-09-30,"Missile and Space Systems","Army","YOUNG",0.569565622286686
"460",2013-09-30,"Missile and Space Systems","Navy","YOUNG",0.0700359083750381
"461",2013-09-30,"Missile and Space Systems","Air Force","YOUNG",1.45454073376582
"462",2013-09-30,"Missile and Space Systems","DLA","YOUNG",-0.000691936863511729
"463",2013-09-30,"Missile and Space Systems","MDA","YOUNG",0.11978960883985
"464",2013-09-30,"Missile and Space Systems","Additional
DoD
Components","YOUNG",2.77940812430184e-05
"465",2013-09-30,"Other Products","Army","YOUNG",0.0185574322252463
"466",2013-09-30,"Other Products","Navy","YOUNG",0.0735764901640093
"467",2013-09-30,"Other Products","Air Force","YOUNG",4.36170212247384e-05
"468",2013-09-30,"Other Products","DLA","YOUNG",0.00235545401990454
"469",2013-09-30,"Other Products","Additional
DoD
Components","YOUNG",0.000544336868183203
"470",2013-09-30,"Other R&D and Knowledge Based","Army","YOUNG",0.461398578814563
"471",2013-09-30,"Other R&D and Knowledge Based","Navy","YOUNG",0.615948543531736
"472",2013-09-30,"Other R&D and Knowledge Based","Air Force","YOUNG",0.315738477611658
"473",2013-09-30,"Other R&D and Knowledge Based","DLA","YOUNG",0.00547020920544328
"474",2013-09-30,"Other R&D and Knowledge Based","MDA","YOUNG",0.000109258454046918
"475",2013-09-30,"Other R&D and Knowledge Based","Military
Health","YOUNG",0.00303444379760333
"476",2013-09-30,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.1275110007843
"477",2013-09-30,"Other Services","Army","YOUNG",0.209156448671372
"478",2013-09-30,"Other Services","Navy","YOUNG",0.347430739708236
"479",2013-09-30,"Other Services","Air Force","YOUNG",1.12419812935006
"480",2013-09-30,"Other Services","DLA","YOUNG",0.00612950092424089
"481",2013-09-30,"Other Services","MDA","YOUNG",-2.28495988625977e-05
"482",2013-09-30,"Other Services","Military
Health","YOUNG",1.89469144504032
"483",2013-09-30,"Other Services","Additional
DoD
Components","YOUNG",-0.0146603145592566
"484",2013-09-30,"Ships & Submarines","Army","YOUNG",0.00481245103290342
"485",2013-09-30,"Ships & Submarines","Navy","YOUNG",4.69715696901412
"486",2013-09-30,"Ships & Submarines","DLA","YOUNG",5.1860139839545e-05
"487",2013-09-30,"Ships & Submarines","Additional
DoD
Components","YOUNG",-0.00254325425469686
"488",2013-09-30,"Weapons and Ammunition","Army","YOUNG",0.431451336558952
"489",2013-09-30,"Weapons and Ammunition","Navy","YOUNG",0.192381361832741
"490",2013-09-30,"Weapons and Ammunition","Air Force","YOUNG",0.027930731071697
"491",2013-09-30,"Weapons and Ammunition","DLA","YOUNG",9.78658474662334e-05
"492",2013-09-30,"Weapons and Ammunition","MDA","YOUNG",-1.17294607494668e-05
"493",2013-09-30,"Weapons and Ammunition","Additional
DoD
Components","YOUNG",-0.0022745214738499
"494",2014-09-30,"Aircraft and Drones","Army","YOUNG",0.1112697205216
"495",2014-09-30,"Aircraft and Drones","Navy","YOUNG",0.5311874818456
"496",2014-09-30,"Aircraft and Drones","Air Force","YOUNG",0.3173257825702
"497",2014-09-30,"Aircraft and Drones","DLA","YOUNG",-0.0006211714658
"498",2014-09-30,"Aircraft and Drones","Additional
DoD
Components","YOUNG",-0.1733130070885
"499",2014-09-30,"Electronics and Communications","Army","YOUNG",0.0939493907417
"500",2014-09-30,"Electronics and Communications","Navy","YOUNG",0.1540991445735
"501",2014-09-30,"Electronics and Communications","Air Force","YOUNG",0.1209017226386
"502",2014-09-30,"Electronics and Communications","DLA","YOUNG",-0.0006288674697
"503",2014-09-30,"Electronics and Communications","Additional
DoD
Components","YOUNG",0.0340709023465
"504",2014-09-30,"Facilities and Construction","Army","YOUNG",0.8519307207323
"505",2014-09-30,"Facilities and Construction","Navy","YOUNG",0.0620136932394
"506",2014-09-30,"Facilities and Construction","Air Force","YOUNG",0.2101474167857
"507",2014-09-30,"Facilities and Construction","DLA","YOUNG",0.1710053503286
"508",2014-09-30,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.0022092763541
"509",2014-09-30,"Land Vehicles","Army","YOUNG",-0.0137412918529
"510",2014-09-30,"Land Vehicles","Navy","YOUNG",-0.0113598085543
"511",2014-09-30,"Land Vehicles","Air Force","YOUNG",-0.0006476049911
"512",2014-09-30,"Land Vehicles","DLA","YOUNG",-5.27013203e-05
"513",2014-09-30,"Land Vehicles","Additional
DoD
Components","YOUNG",-0.0012815852233
"514",2014-09-30,"Missile and Space Systems","Army","YOUNG",0.4309586183716
"515",2014-09-30,"Missile and Space Systems","Navy","YOUNG",0.0647160240474
"516",2014-09-30,"Missile and Space Systems","Air Force","YOUNG",1.052965724024
"517",2014-09-30,"Missile and Space Systems","DLA","YOUNG",-0.0003817942406
"518",2014-09-30,"Missile and Space Systems","MDA","YOUNG",0.0514851290848
"519",2014-09-30,"Missile and Space Systems","Additional
DoD
Components","YOUNG",-0.0043443242765
"520",2014-09-30,"Other Products","Army","YOUNG",0.0020264052483
"521",2014-09-30,"Other Products","Navy","YOUNG",0.0057666655959
"522",2014-09-30,"Other Products","Air Force","YOUNG",-0.000205829626
"523",2014-09-30,"Other Products","DLA","YOUNG",-0.0001017470713
"524",2014-09-30,"Other Products","Additional
DoD
Components","YOUNG",-0.000483610352
"525",2014-09-30,"Other R&D and Knowledge Based","Army","YOUNG",0.1482301633593
"526",2014-09-30,"Other R&D and Knowledge Based","Navy","YOUNG",0.2663287451479
"527",2014-09-30,"Other R&D and Knowledge Based","Air Force","YOUNG",0.0663768242636
"528",2014-09-30,"Other R&D and Knowledge Based","DLA","YOUNG",-0.0026613056724
"529",2014-09-30,"Other R&D and Knowledge Based","MDA","YOUNG",-0.0006151533333
"530",2014-09-30,"Other R&D and Knowledge Based","Military
Health","YOUNG",0.001284
"531",2014-09-30,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",-0.0412092061993
"532",2014-09-30,"Other Services","Army","YOUNG",-0.1473120529431
"533",2014-09-30,"Other Services","Navy","YOUNG",0.0803875651504
"534",2014-09-30,"Other Services","Air Force","YOUNG",1.1347399503347
"535",2014-09-30,"Other Services","DLA","YOUNG",-0.0045415818594
"536",2014-09-30,"Other Services","Military
Health","YOUNG",0.7667509032672
"537",2014-09-30,"Other Services","Additional
DoD
Components","YOUNG",-0.0654884522479
"538",2014-09-30,"Ships & Submarines","Army","YOUNG",-0.0005267657774
"539",2014-09-30,"Ships & Submarines","Navy","YOUNG",4.2608674213226
"540",2014-09-30,"Ships & Submarines","DLA","YOUNG",-5.20509e-05
"541",2014-09-30,"Ships & Submarines","Additional
DoD
Components","YOUNG",-0.0020131196172
"542",2014-09-30,"Weapons and Ammunition","Army","YOUNG",0.2127046618029
"543",2014-09-30,"Weapons and Ammunition","Navy","YOUNG",0.1721349816054
"544",2014-09-30,"Weapons and Ammunition","Air Force","YOUNG",0.0368158411813
"545",2014-09-30,"Weapons and Ammunition","DLA","YOUNG",-0.0002423187969
"546",2014-09-30,"Weapons and Ammunition","MDA","YOUNG",-1.98937391e-05
"547",2014-09-30,"Weapons and Ammunition","Additional
DoD
Components","YOUNG",-0.0012194605426
