"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Aircraft and Drones","Army","YOUNG",0.0478414931305421,NA
"2",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","Army","YOUNG",0.202973717465484,NA
"3",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Aircraft and Drones","Army","YOUNG",0.236286288158042,0.162367166251356
"4",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Aircraft and Drones","Army","YOUNG",0.344895194631236,0.261385066751588
"5",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Aircraft and Drones","Army","YOUNG",0.266843105986985,0.282674862925421
"6",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Aircraft and Drones","Army","YOUNG",3.91011979996746,1.50728603352856
"7",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Aircraft and Drones","Army","YOUNG",0.336589103850325,1.50451733660159
"8",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft and Drones","Army","YOUNG",0.490505634739696,1.57907151285249
"9",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Aircraft and Drones","Army","YOUNG",0.73770504345987,0.521599927349964
"10",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Aircraft and Drones","Army","YOUNG",0.649602086160521,0.625937588120029
"11",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Aircraft and Drones","Army","YOUNG",0.224396000618221,0.537234376746204
"12",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Aircraft and Drones","Army","YOUNG",0.528949002310195,0.467649029696312
"13",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Aircraft and Drones","Army","YOUNG",0.287247795976139,0.346864266301518
"14",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Aircraft and Drones","Army","YOUNG",1.10502224318872,0.640406347158351
"15",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Aircraft and Drones","Army","YOUNG",1.21009820057484,0.867456079913232
"16",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Aircraft and Drones","Army","YOUNG",0.238177045323663,0.851099163029074
"17",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Aircraft and Drones","Army","YOUNG",0.0858987300497943,0.511391325316098
"18",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Aircraft and Drones","Army","YOUNG",3.09579950751245,1.13995842762864
"19",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Aircraft and Drones","Army","YOUNG",0.436734781619398,1.20614433972721
