"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"30",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Products","Air Force","YOUNG",0.00622198095184645,0.0116026166852754
"31",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Products","DLA","YOUNG",0.407907305791896,NA
"32",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Products","Additional
DoD
Components","YOUNG",0.00209255696486699,0.000284778123922068
"33",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Army","YOUNG",0.133341122808396,NA
"34",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Navy","YOUNG",0.111699998260186,NA
"35",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Air Force","YOUNG",0.0701996212257268,NA
"36",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","DLA","YOUNG",0.0037769046694354,0.00360724749996707
"37",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Military
Health","YOUNG",3.6641598383657e-05,NA
"38",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.0396987405993939,0.0444684728281376
"39",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Services","Army","YOUNG",0.0386280316646088,NA
"40",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Services","Navy","YOUNG",0.042589503715344,NA
"41",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Services","Air Force","YOUNG",0.0507277709170502,NA
"42",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Services","DLA","YOUNG",0.000934575148726007,NA
"43",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other Services","Additional
DoD
Components","YOUNG",0.0141973745650466,0.00222059619503645
"44",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Ships & Submarines","Army","YOUNG",0.0008063067347626,NA
"45",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Ships & Submarines","Navy","YOUNG",0.0655526436861601,NA
"46",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Ships & Submarines","Air Force","YOUNG",4.70266023122685e-05,NA
"47",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Ships & Submarines","DLA","YOUNG",0.00918231675833427,0.00305434993973282
"48",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Ships & Submarines","Additional
DoD
Components","YOUNG",0.000892020428779885,0.000413877889464606
"49",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Weapons and Ammunition","Army","YOUNG",0.142066204691885,NA
"50",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Weapons and Ammunition","Navy","YOUNG",0.0136765276462005,NA
"51",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Weapons and Ammunition","Air Force","YOUNG",0.00539323084521271,0.0238382124426276
"52",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Weapons and Ammunition","DLA","YOUNG",0.0029853036255472,NA
"53",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Weapons and Ammunition","Additional
DoD
Components","YOUNG",0.000126788640700415,0.000895742515085243
"54",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","Army","YOUNG",0.202973717465484,NA
"55",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","Navy","YOUNG",0.32607810112246,NA
"56",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","Air Force","YOUNG",0.69625245134134,NA
"57",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","DLA","YOUNG",0.15134382467168,NA
"58",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft and Drones","Additional
DoD
Components","YOUNG",0.0244771398136716,0.00544514935669035
"59",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","Army","YOUNG",1.37881859290605,NA
"60",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","Navy","YOUNG",0.941545074048715,NA
"61",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","Air Force","YOUNG",0.7449381872264,NA
"62",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","DLA","YOUNG",0.0690622452688293,NA
"63",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","MDA","YOUNG",0.000139031316646088,4.23839682133428e-05
"64",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","Military
Health","YOUNG",7.34395891794814e-05,2.42755337830052e-05
"65",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Electronics and Communications","Additional
DoD
Components","YOUNG",0.378775906925581,NA
"66",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Army","YOUNG",1.77777522215737,NA
"67",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Navy","YOUNG",0.653729983645751,NA
"68",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Air Force","YOUNG",0.377264664316983,NA
"69",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","DLA","YOUNG",0.175784715927714,NA
"70",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","MDA","YOUNG",0.000237980693680548,0.000116924334893972
"71",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Military
Health","YOUNG",1.57660343472893e-05,5.5710894312437e-05
"72",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.0105529093164216,NA
"73",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Land Vehicles","Army","YOUNG",0.776947905140869,NA
"74",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Land Vehicles","Navy","YOUNG",0.58970240894601,NA
"75",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Land Vehicles","Air Force","YOUNG",0.0513452416432821,NA
"76",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Land Vehicles","DLA","YOUNG",0.0733704256594455,NA
"77",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Land Vehicles","Additional
DoD
Components","YOUNG",0.00292519474688517,0.0019797695432495
"78",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Missile and Space Systems","Army","YOUNG",0.0799571728701313,NA
"79",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Missile and Space Systems","Navy","YOUNG",0.0332796089909081,NA
"80",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Missile and Space Systems","Air Force","YOUNG",0.0275680626894152,NA
"81",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Missile and Space Systems","DLA","YOUNG",0.000406529307441913,0.000168815916629832
"82",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Missile and Space Systems","MDA","YOUNG",0.00859286227410484,NA
"83",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Products","Army","YOUNG",0.847732126557414,NA
"84",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Products","Navy","YOUNG",0.138331158861825,NA
"85",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Products","Air Force","YOUNG",0.0286347235941183,0.00949868155698201
"86",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Products","DLA","YOUNG",2.53500428998765,NA
"87",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other Products","Additional
DoD
Components","YOUNG",0.0106086677068133,NA
"88",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Other R&D and Knowledge Based","Army","YOUNG",0.596568260691436,NA
