"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3832",2010-11-01,2010-12-31,"Q1",2011-09-30,4.08767123287671,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000458886991187579,0.00115882347181424
"3833",2011-01-01,2011-03-31,"Q2",2011-09-30,4.25479452054795,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000146236414183802,0.00118373696670863
"3834",2011-03-01,2011-03-31,"Q2",2011-09-30,4.41643835616438,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00758277120226605,0.00272929820254581
"3835",2011-05-01,2011-06-30,"Q3",2011-09-30,4.58356164383562,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000170902790600084,0.00263330346901665
"3836",2011-07-01,2011-09-30,"Q4",2011-09-30,4.75068493150685,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00054769311791859,0.00276712237026157
"3837",2011-08-01,2011-09-30,"Q4",2011-09-30,4.83561643835616,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.000702853441040705,0.000473816449853126
"3838",2012-01-01,2012-03-31,"Q2",2012-09-30,5.25479452054795,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.000194039800226547,0.000352168919577583
"3839",2011-11-01,2011-12-31,"Q1",2012-09-30,5.08767123287671,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00204024021213057,0.000849684617648244
"3840",2012-02-01,2012-03-31,"Q2",2012-09-30,5.33972602739726,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00190977549171043,0.00125199196787149
"3841",2012-03-01,2012-03-31,"Q2",2012-09-30,5.41917808219178,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00447479404798682,0.00280826991727594
"3842",2012-05-01,2012-06-30,"Q3",2012-09-30,5.58630136986301,"Facilities and Construction","Additional
DoD
Components","YOUNG",-9.12458243229328e-05,0.00209777457179144
"3843",2012-07-01,2012-09-30,"Q4",2012-09-30,5.75342465753425,"Facilities and Construction","Additional
DoD
Components","YOUNG",-0.000253389022757697,0.0013767197336354
"3844",2012-12-01,2012-12-31,"Q1",2013-09-30,6.17260273972603,"Facilities and Construction","Additional
DoD
Components","YOUNG",0.00074123231116076,0.000132199154693376
