"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"71",2013-05-01,"Large","Army","YOUNG",0.182435209092617,0.0749196002494499
"72",2013-06-01,"Large","Army","YOUNG",0.353635892194069,0.186032622621881
"73",2013-07-01,"Large","Army","YOUNG",0.0756711924973088,0.203914097927998
"74",2013-08-01,"Large","Army","YOUNG",0.0262338312189499,0.151846971970109
"75",2013-09-01,"Large","Army","YOUNG",0.0452943486526861,0.049066457456315
"76",2013-10-01,"Large","Army","YOUNG",0.0007512945478,0.024093158139812
"77",2013-11-01,"Large","Army","YOUNG",0.0044124427816,0.0168193619940287
"78",2013-12-01,"Large","Army","YOUNG",0.2095101766195,0.0715579713163
"79",2014-01-01,"Large","Army","YOUNG",0.0118932383886,0.0752719525965667
"80",2014-02-01,"Large","Army","YOUNG",0.0070932537021,0.0761655562367333
"81",2014-03-01,"Large","Army","YOUNG",0.4530910090573,0.157359167049333
"82",2014-04-01,"Large","Army","YOUNG",-0.000865600340399998,0.153106220806333
"83",2014-05-01,"Large","Army","YOUNG",-0.0203883510662,0.143945685883567
"84",2014-06-01,"Large","Army","YOUNG",0.0464028033005,0.0083829506313
"85",2014-07-01,"Large","Army","YOUNG",-0.1362384257585,-0.0367413245080667
"86",2014-08-01,"Large","Army","YOUNG",0.0197133777282,-0.0233740815766
"87",2014-09-01,"Large","Army","YOUNG",0.0098205432545,-0.0355681682586
"88",2009-04-01,"Large","Army","CARTER",0.4646997574042,NA
"89",2009-05-01,"Large","Army","CARTER",1.05393898279931,NA
"90",2009-06-01,"Large","Army","CARTER",2.72054587964927,1.41306153995093
"91",2009-07-01,"Large","Army","CARTER",2.59890834434943,2.124464402266
"92",2009-08-01,"Large","Army","CARTER",1.71344598958649,2.34430007119506
"93",2009-09-01,"Large","Army","CARTER",5.86059274319117,3.39098235904236
"94",2009-10-01,"Large","Army","CARTER",1.14536095537013,2.90646656271593
"95",2009-11-01,"Large","Army","CARTER",2.69350659767865,3.23315343207998
"96",2009-12-01,"Large","Army","CARTER",2.07136773564399,1.97007842956426
"97",2010-01-01,"Large","Army","CARTER",1.3158576279632,2.02691065376195
"98",2010-02-01,"Large","Army","CARTER",2.85806973086222,2.0817650314898
"99",2010-03-01,"Large","Army","CARTER",2.64432178828626,2.27274971570389
"100",2010-04-01,"Large","Army","CARTER",2.27252003161104,2.59163718358651
"101",2010-05-01,"Large","Army","CARTER",2.72282106975824,2.54655429655185
"102",2010-06-01,"Large","Army","CARTER",3.36927928200685,2.78820679445871
"103",2010-07-01,"Large","Army","CARTER",1.6736664330445,2.58858892826986
"104",2010-08-01,"Large","Army","CARTER",2.89759884176294,2.64684818560476
"105",2010-09-01,"Large","Army","CARTER",8.28315548331194,4.28480691937313
"106",2010-10-01,"Large","Army","CARTER",0.476010732385648,3.88558835248684
"107",2010-11-01,"Large","Army","CARTER",3.11730383919429,3.95882335163063
"108",2010-12-01,"Large","Army","CARTER",1.92850335893831,1.84060597683942
"109",2011-01-01,"Large","Army","CARTER",2.08101892237726,2.37560870683662
"110",2011-02-01,"Large","Army","CARTER",1.57367096122535,1.8610644141803
"111",2011-03-01,"Large","Army","CARTER",2.67518807140159,2.10995931833473
"112",2011-04-01,"Large","Army","CARTER",1.78419269448175,2.01101724236956
"113",2011-05-01,"Large","Army","CARTER",2.52138892741292,2.32692323109875
"114",2011-06-01,"Large","Army","CARTER",3.08999257087705,2.46519139759057
"115",2011-07-01,"Large","Army","CARTER",4.06662447727654,3.2260019918555
"116",2011-08-01,"Large","Army","CARTER",2.60783469810113,3.25481724875157
"117",2011-09-01,"Large","Army","CARTER",6.49451446665967,4.38965788067912
"118",2011-10-01,"Large","Army","CARTER",0.437016907445165,3.17978869073532
"119",2011-11-01,"Large","Army","CARTER",0.41937285905674,2.45030141105386
"120",2011-12-01,"Large","Army","CARTER",0.756510624116981,0.537633463539629
"121",2012-01-01,"Large","Army","CARTER",0.820143322325198,0.66534226849964
"122",2012-02-01,"Large","Army","CARTER",1.0704288845536,0.882360943665259
"123",2012-03-01,"Large","Army","CARTER",1.88092661273813,1.25716627320564
"124",2012-04-01,"Large","Army","CARTER",1.40346820200803,1.45160789976659
"125",2012-05-01,"Large","Army","CARTER",1.11100919664298,1.46513467046305
"126",2012-06-01,"Large","Army","CARTER",0.99257759489239,1.16901833118113
"127",2012-07-01,"Large","Army","CARTER",1.97593547529606,1.35984075561048
"128",2012-08-01,"Large","Army","CARTER",0.730966895438163,1.2331599885422
"129",2012-09-01,"Large","Army","CARTER",2.41845394017094,1.70845210363505
"130",2012-10-01,"Large","Army","CARTER",0.250745016292475,1.13338861730053
"131",2012-11-01,"Large","Army","CARTER",0.460421656097187,1.04320687085353
"132",2012-12-01,"Large","Army","CARTER",0.646352791552859,0.45250648798084
"133",2013-01-01,"Large","Army","CARTER",0.547048522800142,0.551274323483396
"134",2013-02-01,"Large","Army","CARTER",0.902277118793744,0.698559477715582
"135",2013-03-01,"Large","Army","CARTER",1.05532555501229,0.834883732202058
"136",2013-04-01,"Large","Army","CARTER",0.600526998260282,0.852709890688771
"137",2013-05-01,"Large","Army","CARTER",0.563071936945364,0.739641496739311
"138",2013-06-01,"Large","Army","CARTER",0.973936646500762,0.712511860568803
"139",2013-07-01,"Large","Army","CARTER",1.96080458910501,1.16593772418371
"140",2013-08-01,"Large","Army","CARTER",0.797193225429674,1.24397815367848
"141",2013-09-01,"Large","Army","CARTER",1.54199047012582,1.43332942822017
"142",2013-10-01,"Large","Army","CARTER",0.0695403325555,0.802908009370333
"143",2013-11-01,"Large","Army","CARTER",0.1634054194947,0.591645407392008
"144",2013-12-01,"Large","Army","CARTER",0.1922296698544,0.141725140634867
"145",2014-01-01,"Large","Army","CARTER",0.1763318652986,0.1773223182159
"146",2014-02-01,"Large","Army","CARTER",0.1737716544146,0.180777729855867
"147",2014-03-01,"Large","Army","CARTER",0.3431952708863,0.2310995968665
"148",2014-04-01,"Large","Army","CARTER",0.1719008572739,0.2296225941916
"149",2014-05-01,"Large","Army","CARTER",0.198668210523,0.237921446227733
"150",2014-06-01,"Large","Army","CARTER",0.7417212709062,0.370763446234367
"151",2014-07-01,"Large","Army","CARTER",0.9891596829636,0.6431830547976
"152",2014-08-01,"Large","Army","CARTER",0.2278164838416,0.6528991459038
"153",2014-09-01,"Large","Army","CARTER",0.2997026419191,0.5055596029081
"154",2011-11-01,"Large","Army","KENDALL",0.210003862290186,NA
"155",2011-12-01,"Large","Army","KENDALL",0.581744299330656,NA
"156",2012-01-01,"Large","Army","KENDALL",0.72901167540933,0.506919945676724
"157",2012-02-01,"Large","Army","KENDALL",0.995616345268252,0.768790773336079
"158",2012-03-01,"Large","Army","KENDALL",1.6130107562146,1.11254625896406
"159",2012-04-01,"Large","Army","KENDALL",0.780172084811039,1.12959972876463
"160",2012-05-01,"Large","Army","KENDALL",1.1645831124601,1.18592198449525
"161",2012-06-01,"Large","Army","KENDALL",1.1390493557821,1.02793485101775
"162",2012-07-01,"Large","Army","KENDALL",0.86979525630728,1.05780924151649
"163",2012-08-01,"Large","Army","KENDALL",1.11778874510349,1.04221111906429
"164",2012-09-01,"Large","Army","KENDALL",4.06838550078262,2.01865650073113
"165",2012-10-01,"Large","Army","KENDALL",0.539657031157408,1.90861042568117
"166",2012-11-01,"Large","Army","KENDALL",0.383080600635016,1.66370771085835
"167",2012-12-01,"Large","Army","KENDALL",2.32240628641139,1.08171463940127
"168",2013-01-01,"Large","Army","KENDALL",0.778593771500152,1.16136021951552
"169",2013-02-01,"Large","Army","KENDALL",0.886988299735859,1.32932945254914
"170",2013-03-01,"Large","Army","KENDALL",0.789778161840561,0.818453411025524
"171",2013-04-01,"Large","Army","KENDALL",0.774316196438611,0.817027552671677
"172",2013-05-01,"Large","Army","KENDALL",1.06588959967005,0.876661319316408
"173",2013-06-01,"Large","Army","KENDALL",1.05667297568254,0.965626257263735
"174",2013-07-01,"Large","Army","KENDALL",1.24661495246014,1.12305917593758
"175",2013-08-01,"Large","Army","KENDALL",1.38564434577059,1.22964409130442
"176",2013-09-01,"Large","Army","KENDALL",3.16127953967858,1.93117961263644
"177",2013-10-01,"Large","Army","KENDALL",0.5236436659395,1.69018918379622
"178",2013-11-01,"Large","Army","KENDALL",0.6230531447984,1.43599211680549
"179",2013-12-01,"Large","Army","KENDALL",1.4582182567024,0.8683050224801
"180",2014-01-01,"Large","Army","KENDALL",0.5409052410771,0.8740588808593
"181",2014-02-01,"Large","Army","KENDALL",0.8767086314309,0.9586107097368
"182",2014-03-01,"Large","Army","KENDALL",1.3055384255997,0.907717432702567
"183",2014-04-01,"Large","Army","KENDALL",0.8527752676511,1.01167410822723
"184",2014-05-01,"Large","Army","KENDALL",1.2149793234467,1.12443100556583
"185",2014-06-01,"Large","Army","KENDALL",1.1210188665162,1.06292448587133
"186",2014-07-01,"Large","Army","KENDALL",0.8676756884243,1.06789129279573
"187",2014-08-01,"Large","Army","KENDALL",0.7793578842751,0.9226841464052
"188",2014-09-01,"Large","Army","KENDALL",3.134774634021,1.5939360689068
"189",2007-07-01,"Large","Navy","YOUNG",0.675491867964979,NA
"190",2007-08-01,"Large","Navy","YOUNG",0.769408731653384,NA
"191",2007-09-01,"Large","Navy","YOUNG",2.4363060752722,1.29373555829685
