"","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014"
"1",2007-09-30,0.747945205479452,"Combination","Army","YOUNG",0.0351409944999439
"2",2007-09-30,0.747945205479452,"Combination","Navy","YOUNG",0.0247286909192951
"3",2007-09-30,0.747945205479452,"Combination","Air Force","YOUNG",0.0138855146481087
"4",2007-09-30,0.747945205479452,"Combination","DLA","YOUNG",0.00727628690088674
"5",2007-09-30,0.747945205479452,"Combination","Additional DoD Components","YOUNG",0.0195222707374565
"6",2007-09-30,0.747945205479452,"Cost+","Army","YOUNG",0.136100628622741
"7",2007-09-30,0.747945205479452,"Cost+","Navy","YOUNG",0.291263495353014
"8",2007-09-30,0.747945205479452,"Cost+","Air Force","YOUNG",0.0912353301156134
"9",2007-09-30,0.747945205479452,"Cost+","DLA","YOUNG",0.000112246043326973
"10",2007-09-30,0.747945205479452,"Cost+","MDA","YOUNG",0.00112227522729824
"11",2007-09-30,0.747945205479452,"Cost+","Additional DoD Components","YOUNG",0.032215059546526
"12",2007-09-30,0.747945205479452,"Fixed","Army","YOUNG",2.5353993730834
"13",2007-09-30,0.747945205479452,"Fixed","Navy","YOUNG",1.14482797604669
"14",2007-09-30,0.747945205479452,"Fixed","Air Force","YOUNG",1.14919692301044
"15",2007-09-30,0.747945205479452,"Fixed","DLA","YOUNG",0.62229096908744
"16",2007-09-30,0.747945205479452,"Fixed","MDA","YOUNG",0.000226945785161073
"17",2007-09-30,0.747945205479452,"Fixed","MilitaryHealth","YOUNG",3.6641598383657e-05
"18",2007-09-30,0.747945205479452,"Fixed","Additional DoD Components","YOUNG",0.100016020024694
"19",2007-09-30,0.747945205479452,"Time/Mat.","Army","YOUNG",0.0874307848580087
"20",2007-09-30,0.747945205479452,"Time/Mat.","Navy","YOUNG",0.0135558287125379
"21",2007-09-30,0.747945205479452,"Time/Mat.","Air Force","YOUNG",0.0480112621169604
"22",2007-09-30,0.747945205479452,"Time/Mat.","DLA","YOUNG",0.000294817431810529
"23",2007-09-30,0.747945205479452,"Time/Mat.","Additional DoD Components","YOUNG",0.00681948479066113
"24",2007-09-30,0.747945205479452,"Unlabeled","Army","YOUNG",0
"25",2007-09-30,0.747945205479452,"Unlabeled","Navy","YOUNG",0
"26",2007-09-30,0.747945205479452,"Unlabeled","Air Force","YOUNG",0
"27",2007-09-30,0.832876712328767,"Combination","Army","YOUNG",0.453248538623863
"28",2007-09-30,0.832876712328767,"Combination","Navy","YOUNG",0.157868156268942
"29",2007-09-30,0.832876712328767,"Combination","Air Force","YOUNG",0.0275131524301268
"30",2007-09-30,0.832876712328767,"Combination","DLA","YOUNG",0.0594547581097766
"31",2007-09-30,0.832876712328767,"Combination","MDA","YOUNG",0.000208101919407341
"32",2007-09-30,0.832876712328767,"Combination","Additional DoD Components","YOUNG",0.0565289987652935
"33",2007-09-30,0.832876712328767,"Cost+","Army","YOUNG",0.327140728050286
"34",2007-09-30,0.832876712328767,"Cost+","Navy","YOUNG",0.49826413093501
"35",2007-09-30,0.832876712328767,"Cost+","Air Force","YOUNG",0.320288284891683
"36",2007-09-30,0.832876712328767,"Cost+","DLA","YOUNG",0.00121929509484791
"37",2007-09-30,0.832876712328767,"Cost+","MDA","YOUNG",0.00745212930744191
"38",2007-09-30,0.832876712328767,"Cost+","Additional DoD Components","YOUNG",0.121930404085756
"39",2007-09-30,0.832876712328767,"Fixed","Army","YOUNG",5.23998054783926
"40",2007-09-30,0.832876712328767,"Fixed","Navy","YOUNG",2.83216603469301
"41",2007-09-30,0.832876712328767,"Fixed","Air Force","YOUNG",1.86623442156246
"42",2007-09-30,0.832876712328767,"Fixed","DLA","YOUNG",2.99387311707262
"43",2007-09-30,0.832876712328767,"Fixed","MDA","YOUNG",0.00328494892805029
"44",2007-09-30,0.832876712328767,"Fixed","MilitaryHealth","YOUNG",8.92056235267707e-05
"45",2007-09-30,0.832876712328767,"Fixed","Additional DoD Components","YOUNG",0.501425162689415
"46",2007-09-30,0.832876712328767,"Time/Mat.","Army","YOUNG",0.20934076140981
"47",2007-09-30,0.832876712328767,"Time/Mat.","Navy","YOUNG",0.0625982369289483
"48",2007-09-30,0.832876712328767,"Time/Mat.","Air Force","YOUNG",0.200550618363453
"49",2007-09-30,0.832876712328767,"Time/Mat.","DLA","YOUNG",0.00225175883937591
"50",2007-09-30,0.832876712328767,"Time/Mat.","MDA","YOUNG",0.000280615108317432
"51",2007-09-30,0.832876712328767,"Time/Mat.","Additional DoD Components","YOUNG",0.0348408318329779
"52",2007-09-30,0.832876712328767,"Unlabeled","Army","YOUNG",-9.42866763946571e-09
"53",2007-09-30,0.832876712328767,"Unlabeled","Navy","YOUNG",-7.97395891794814e-06
"54",2007-09-30,0.832876712328767,"Unlabeled","Air Force","YOUNG",-0.000144198002020429
"55",2007-09-30,0.832876712328767,"Unlabeled","MDA","YOUNG",0
"56",2007-09-30,0.832876712328767,"Unlabeled","Additional DoD Components","YOUNG",-0.000357003479627343
"57",2007-09-30,0.917808219178082,"Combination","Army","YOUNG",0.771855246986194
"58",2007-09-30,0.917808219178082,"Combination","Navy","YOUNG",0.364607505185767
"59",2007-09-30,0.917808219178082,"Combination","Air Force","YOUNG",0.0909345547985183
"60",2007-09-30,0.917808219178082,"Combination","DLA","YOUNG",0.0712589112133797
"61",2007-09-30,0.917808219178082,"Combination","MDA","YOUNG",0.000184386575373218
"62",2007-09-30,0.917808219178082,"Combination","Additional DoD Components","YOUNG",0.23482840694803
"63",2007-09-30,0.917808219178082,"Cost+","Army","YOUNG",0.951410862083287
"64",2007-09-30,0.917808219178082,"Cost+","Navy","YOUNG",1.26097665276686
"65",2007-09-30,0.917808219178082,"Cost+","Air Force","YOUNG",1.07280106603435
"66",2007-09-30,0.917808219178082,"Cost+","DLA","YOUNG",0.00127788752946459
"67",2007-09-30,0.917808219178082,"Cost+","MDA","YOUNG",0.0172072219104277
"68",2007-09-30,0.917808219178082,"Cost+","Additional DoD Components","YOUNG",0.229441498125491
"69",2007-09-30,0.917808219178082,"Fixed","Army","YOUNG",13.5901543930969
"70",2007-09-30,0.917808219178082,"Fixed","Navy","YOUNG",6.4427656112695
"71",2007-09-30,0.917808219178082,"Fixed","Air Force","YOUNG",5.12622662156246
"72",2007-09-30,0.917808219178082,"Fixed","DLA","YOUNG",2.89650853865754
"73",2007-09-30,0.917808219178082,"Fixed","MDA","YOUNG",0.00218656435065664
"74",2007-09-30,0.917808219178082,"Fixed","MilitaryHealth","YOUNG",0.00104559269278258
"75",2007-09-30,0.917808219178082,"Fixed","Additional DoD Components","YOUNG",0.507236288809069
"76",2007-09-30,0.917808219178082,"Other","Army","YOUNG",0
"77",2007-09-30,0.917808219178082,"Time/Mat.","Army","YOUNG",0.683248513424627
"78",2007-09-30,0.917808219178082,"Time/Mat.","Navy","YOUNG",0.248146388764171
"79",2007-09-30,0.917808219178082,"Time/Mat.","Air Force","YOUNG",0.541077794948928
"80",2007-09-30,0.917808219178082,"Time/Mat.","DLA","YOUNG",0.0178376330115613
"81",2007-09-30,0.917808219178082,"Time/Mat.","Additional DoD Components","YOUNG",0.0805338818834886
"82",2007-09-30,0.917808219178082,"Unlabeled","Army","YOUNG",-0.00361768214165451
"83",2007-09-30,0.917808219178082,"Unlabeled","Navy","YOUNG",-0.000134221326748232
"84",2007-09-30,0.917808219178082,"Unlabeled","Air Force","YOUNG",0
"85",2007-09-30,0.917808219178082,"Unlabeled","Additional DoD Components","YOUNG",-5.50725895162195e-05
"86",2008-09-30,1,"Combination","Army","YOUNG",0.0682761044251627
"87",2008-09-30,1,"Combination","Navy","YOUNG",0.235603672527115
"88",2008-09-30,1,"Combination","Air Force","YOUNG",0.0707023904446855
"89",2008-09-30,1,"Combination","DLA","YOUNG",0.0768023785249458
"90",2008-09-30,1,"Combination","MDA","YOUNG",6.29718004338395e-06
"91",2008-09-30,1,"Combination","MilitaryHealth","YOUNG",0.00893503362255965
"92",2008-09-30,1,"Combination","Additional DoD Components","YOUNG",0.060810087472885
"93",2008-09-30,1,"Cost+","Army","YOUNG",0.158863122711497
"94",2008-09-30,1,"Cost+","Navy","YOUNG",0.605179691366594
"95",2008-09-30,1,"Cost+","Air Force","YOUNG",0.479607937321041
"96",2008-09-30,1,"Cost+","DLA","YOUNG",4.25932754880694e-05
"97",2008-09-30,1,"Cost+","MDA","YOUNG",0.00632137960954447
"98",2008-09-30,1,"Cost+","Additional DoD Components","YOUNG",0.0555020594468547
"99",2008-09-30,1,"Fixed","Army","YOUNG",2.77285164816703
"100",2008-09-30,1,"Fixed","Navy","YOUNG",3.70481416703905
"101",2008-09-30,1,"Fixed","Air Force","YOUNG",1.18403494481562
"102",2008-09-30,1,"Fixed","DLA","YOUNG",3.38419732842733
"103",2008-09-30,1,"Fixed","MDA","YOUNG",0.000824561822125813
"104",2008-09-30,1,"Fixed","MilitaryHealth","YOUNG",0.0507942231670282
"105",2008-09-30,1,"Fixed","Additional DoD Components","YOUNG",1.10013317680043
"106",2008-09-30,1,"Time/Mat.","Army","YOUNG",0.150123337234273
"107",2008-09-30,1,"Time/Mat.","Navy","YOUNG",0.0646194940130152
"108",2008-09-30,1,"Time/Mat.","Air Force","YOUNG",0.134801215140998
"109",2008-09-30,1,"Time/Mat.","DLA","YOUNG",0.00232506494577007
"110",2008-09-30,1,"Time/Mat.","Additional DoD Components","YOUNG",0.0563776035357918
"111",2008-09-30,1,"Unlabeled","Army","YOUNG",-0.00234734712581345
"112",2008-09-30,1,"Unlabeled","Navy","YOUNG",0.0280704836334056
"113",2008-09-30,1,"Unlabeled","Air Force","YOUNG",-8.38773644251627e-05
"114",2008-09-30,1,"Unlabeled","DLA","YOUNG",-6.49891540130152e-06
"115",2008-09-30,1,"Unlabeled","Additional DoD Components","YOUNG",0.000157414663774403
"116",2008-09-30,1.08493150684932,"Combination","Army","YOUNG",0.199718256247289
"117",2008-09-30,1.08493150684932,"Combination","Navy","YOUNG",0.0765000972451193
"118",2008-09-30,1.08493150684932,"Combination","Air Force","YOUNG",0.0752442714750542
"119",2008-09-30,1.08493150684932,"Combination","DLA","YOUNG",0.151542337310195
"120",2008-09-30,1.08493150684932,"Combination","MDA","YOUNG",0.00225376138828633
"121",2008-09-30,1.08493150684932,"Combination","Additional DoD Components","YOUNG",0.0438138511388286
"122",2008-09-30,1.08493150684932,"Cost+","Army","YOUNG",0.444455544414317
"123",2008-09-30,1.08493150684932,"Cost+","Navy","YOUNG",0.709968455347072
"124",2008-09-30,1.08493150684932,"Cost+","Air Force","YOUNG",0.332295604989154
"125",2008-09-30,1.08493150684932,"Cost+","DLA","YOUNG",0.000479580260303688
"126",2008-09-30,1.08493150684932,"Cost+","MDA","YOUNG",0.00488045553145336
"127",2008-09-30,1.08493150684932,"Cost+","Additional DoD Components","YOUNG",0.0427488520173536
"128",2008-09-30,1.08493150684932,"Fixed","Army","YOUNG",3.74520302850325
"129",2008-09-30,1.08493150684932,"Fixed","Navy","YOUNG",0.970623073611714
"130",2008-09-30,1.08493150684932,"Fixed","Air Force","YOUNG",0.898562786605206
"131",2008-09-30,1.08493150684932,"Fixed","DLA","YOUNG",1.61759440383948
"132",2008-09-30,1.08493150684932,"Fixed","MDA","YOUNG",0.00437634815618221
"133",2008-09-30,1.08493150684932,"Fixed","MilitaryHealth","YOUNG",0.0506763912147505
"134",2008-09-30,1.08493150684932,"Fixed","Additional DoD Components","YOUNG",0.655128912212581
"135",2008-09-30,1.08493150684932,"Time/Mat.","Army","YOUNG",0.234856212104121
"136",2008-09-30,1.08493150684932,"Time/Mat.","Navy","YOUNG",0.0485652781778742
"137",2008-09-30,1.08493150684932,"Time/Mat.","Air Force","YOUNG",0.120623040195228
"138",2008-09-30,1.08493150684932,"Time/Mat.","DLA","YOUNG",0.00824308355748373
"139",2008-09-30,1.08493150684932,"Time/Mat.","MDA","YOUNG",0.00119457700650759
"140",2008-09-30,1.08493150684932,"Time/Mat.","Additional DoD Components","YOUNG",0.0173504694468547
"141",2008-09-30,1.08493150684932,"Unlabeled","Army","YOUNG",0.00313089389370933
"142",2008-09-30,1.08493150684932,"Unlabeled","Navy","YOUNG",0.0560540456941432
"143",2008-09-30,1.08493150684932,"Unlabeled","Air Force","YOUNG",-0.00013553262472885
"144",2008-09-30,1.08493150684932,"Unlabeled","DLA","YOUNG",0
"145",2008-09-30,1.08493150684932,"Unlabeled","Additional DoD Components","YOUNG",0.000425802331887202
"146",2008-09-30,1.16712328767123,"Combination","Army","YOUNG",0.247481178112798
"147",2008-09-30,1.16712328767123,"Combination","Navy","YOUNG",0.329433893145336
"148",2008-09-30,1.16712328767123,"Combination","Air Force","YOUNG",0.0808681286876356
"149",2008-09-30,1.16712328767123,"Combination","DLA","YOUNG",0.0499580737527115
"150",2008-09-30,1.16712328767123,"Combination","MDA","YOUNG",0.00920065075921909
"151",2008-09-30,1.16712328767123,"Combination","MilitaryHealth","YOUNG",0
"152",2008-09-30,1.16712328767123,"Combination","Additional DoD Components","YOUNG",0.133293923004338
"153",2008-09-30,1.16712328767123,"Cost+","Army","YOUNG",0.711839846193059
"154",2008-09-30,1.16712328767123,"Cost+","Navy","YOUNG",0.62253329362256
"155",2008-09-30,1.16712328767123,"Cost+","Air Force","YOUNG",0.739927925184382
"156",2008-09-30,1.16712328767123,"Cost+","MDA","YOUNG",0.12640954989154
"157",2008-09-30,1.16712328767123,"Cost+","Additional DoD Components","YOUNG",0.106741641073753
"158",2008-09-30,1.16712328767123,"Fixed","Army","YOUNG",8.86257496867679
"159",2008-09-30,1.16712328767123,"Fixed","Navy","YOUNG",2.76989052563991
"160",2008-09-30,1.16712328767123,"Fixed","Air Force","YOUNG",1.60787660936009
"161",2008-09-30,1.16712328767123,"Fixed","DLA","YOUNG",3.25090774194143
"162",2008-09-30,1.16712328767123,"Fixed","MDA","YOUNG",0.00242851843817787
"163",2008-09-30,1.16712328767123,"Fixed","MilitaryHealth","YOUNG",0.000366
"164",2008-09-30,1.16712328767123,"Fixed","Additional DoD Components","YOUNG",0.579227668904555
"165",2008-09-30,1.16712328767123,"Time/Mat.","Army","YOUNG",0.198601398893709
"166",2008-09-30,1.16712328767123,"Time/Mat.","Navy","YOUNG",0.044106392494577
"167",2008-09-30,1.16712328767123,"Time/Mat.","Air Force","YOUNG",0.25107535835141
"168",2008-09-30,1.16712328767123,"Time/Mat.","DLA","YOUNG",0.00697308296095445
"169",2008-09-30,1.16712328767123,"Time/Mat.","MDA","YOUNG",0.00139018221258134
"170",2008-09-30,1.16712328767123,"Time/Mat.","Additional DoD Components","YOUNG",0.0413070704989154
"171",2008-09-30,1.16712328767123,"Unlabeled","Army","YOUNG",0.00264968200650759
"172",2008-09-30,1.16712328767123,"Unlabeled","Navy","YOUNG",0.0387999063015184
"173",2008-09-30,1.16712328767123,"Unlabeled","Air Force","YOUNG",0.00671918839479393
"174",2008-09-30,1.16712328767123,"Unlabeled","Additional DoD Components","YOUNG",-0.000137716919739696
"175",2008-09-30,1.25205479452055,"Combination","Army","YOUNG",0.517261898015184
"176",2008-09-30,1.25205479452055,"Combination","Navy","YOUNG",0.112192584598698
"177",2008-09-30,1.25205479452055,"Combination","Air Force","YOUNG",0.0229900606073753
"178",2008-09-30,1.25205479452055,"Combination","DLA","YOUNG",0.0435676778741865
"179",2008-09-30,1.25205479452055,"Combination","MDA","YOUNG",0.0196186193058568
"180",2008-09-30,1.25205479452055,"Combination","MilitaryHealth","YOUNG",1.11221908893709e-05
"181",2008-09-30,1.25205479452055,"Combination","Additional DoD Components","YOUNG",0.0489395770173536
"182",2008-09-30,1.25205479452055,"Cost+","Army","YOUNG",0.557175872483731
"183",2008-09-30,1.25205479452055,"Cost+","Navy","YOUNG",0.658828086127983
"184",2008-09-30,1.25205479452055,"Cost+","Air Force","YOUNG",0.619450655835141
"185",2008-09-30,1.25205479452055,"Cost+","DLA","YOUNG",0.000582869848156182
"186",2008-09-30,1.25205479452055,"Cost+","MDA","YOUNG",0.0170419143167028
"187",2008-09-30,1.25205479452055,"Cost+","Additional DoD Components","YOUNG",0.0888416412689805
"188",2008-09-30,1.25205479452055,"Fixed","Army","YOUNG",4.00734164158351
"189",2008-09-30,1.25205479452055,"Fixed","Navy","YOUNG",1.8373479539154
"190",2008-09-30,1.25205479452055,"Fixed","Air Force","YOUNG",1.38246618347072
"191",2008-09-30,1.25205479452055,"Fixed","DLA","YOUNG",1.70907566085683
"192",2008-09-30,1.25205479452055,"Fixed","MDA","YOUNG",0.00395068004338395
"193",2008-09-30,1.25205479452055,"Fixed","MilitaryHealth","YOUNG",0.222699681822126
"194",2008-09-30,1.25205479452055,"Fixed","Additional DoD Components","YOUNG",0.566478526898048
"195",2008-09-30,1.25205479452055,"Time/Mat.","Army","YOUNG",0.298436881203905
"196",2008-09-30,1.25205479452055,"Time/Mat.","Navy","YOUNG",0.0572786032429501
"197",2008-09-30,1.25205479452055,"Time/Mat.","Air Force","YOUNG",0.248572464685466
