"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Army","YOUNG",0.0351409944999439,NA
"2",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Army","YOUNG",0.453248538623863,NA
"3",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Combination","Army","YOUNG",0.771855246986194,0.42008159337
"4",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Combination","Army","YOUNG",0.0682761044251627,0.43112663001174
"5",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Combination","Army","YOUNG",0.199718256247289,0.346616535886215
"6",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Combination","Army","YOUNG",0.247481178112798,0.171825179595083
"7",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Combination","Army","YOUNG",0.517261898015184,0.321487110791757
"8",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Combination","Army","YOUNG",0.329345461691974,0.364696179273319
"9",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Combination","Army","YOUNG",0.278329010021692,0.374978789909617
"10",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Combination","Army","YOUNG",0.345295245574837,0.317656572429501
"11",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Combination","Army","YOUNG",0.314173818655098,0.312599358083876
"12",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Combination","Army","YOUNG",0.511348031203904,0.390272365144613
"13",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Combination","Army","YOUNG",0.610577896149675,0.478699915336225
"14",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Combination","Army","YOUNG",0.549398837733189,0.557108255028923
"15",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Combination","Army","YOUNG",2.2645741028308,1.14151694557122
"16",2008-10-01,2008-12-31,"Q1",2009-09-30,2.0027397260274,"Combination","Army","YOUNG",0.270854206375839,1.02827571564661
"17",2008-11-01,2008-12-31,"Q1",2009-09-30,2.08767123287671,"Combination","Army","YOUNG",0.38344141556614,0.97295657492426
"18",2008-12-01,2008-12-31,"Q1",2009-09-30,2.16986301369863,"Combination","Army","YOUNG",0.948592264851699,0.534295962264559
"19",2009-01-01,2009-03-31,"Q2",2009-09-30,2.25479452054795,"Combination","Army","YOUNG",0.965762788016887,0.765932156144909
"20",2009-02-01,2009-03-31,"Q2",2009-09-30,2.33972602739726,"Combination","Army","YOUNG",0.766320489846287,0.893558514238291
"21",2009-03-01,2009-03-31,"Q2",2009-09-30,2.41643835616438,"Combination","Army","YOUNG",0.548972954178394,0.760352077347189
"22",2009-04-01,2009-06-30,"Q3",2009-09-30,2.5013698630137,"Combination","Army","YOUNG",0.351331763844988,0.555541735956556
"23",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Combination","Army","YOUNG",0.264254021205889,0.388186246409757
"24",2009-06-01,2009-06-30,"Q3",2009-09-30,2.66849315068493,"Combination","Army","YOUNG",0.59970503445551,0.405096939835462
"25",2009-07-01,2009-09-30,"Q4",2009-09-30,2.75068493150685,"Combination","Army","YOUNG",0.471218260521758,0.445059105394385
"26",2009-08-01,2009-09-30,"Q4",2009-09-30,2.83561643835616,"Combination","Army","YOUNG",0.537823509850617,0.536248934942628
"27",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Combination","Army","YOUNG",1.31578076164754,0.774940844006639
"28",2009-10-01,2009-12-31,"Q1",2010-09-30,3.0027397260274,"Combination","Army","YOUNG",0.00698795012836971,0.620197407208843
"29",2009-11-01,2009-12-31,"Q1",2010-09-30,3.08767123287671,"Combination","Army","YOUNG",0.0597630229567822,0.460843911577565
