"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"88",2009-05-01,2009-06-30,"Q3",2009-09-30,0.580821917808219,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.206506063682615,NA
"89",2009-07-01,2009-09-30,"Q4",2009-09-30,0.747945205479452,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.237009605336653,NA
"90",2009-08-01,2009-09-30,"Q4",2009-09-30,0.832876712328767,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.46800596924659,0.303840546088619
"91",2009-09-01,2009-09-30,"Q4",2009-09-30,0.917808219178082,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",1.80098870228404,0.835334758955762
"92",2009-10-01,2009-12-31,"Q1",2010-09-30,1,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00310902952503209,0.757367900351889
"93",2009-12-01,2009-12-31,"Q1",2010-09-30,1.16712328767123,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0774452871523321,0.627181006320469
"94",2010-02-01,2010-03-31,"Q2",2010-09-30,1.33698630136986,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0945036546534018,0.0583526571102553
"95",2010-03-01,2010-03-31,"Q2",2010-09-30,1.41369863013699,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.143973333429611,0.105307425078448
"96",2010-04-01,2010-06-30,"Q3",2010-09-30,1.4986301369863,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.456041125342319,0.231506037808444
"97",2010-05-01,2010-06-30,"Q3",2010-09-30,1.58082191780822,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.158897569854514,0.252970676208815
"98",2010-06-01,2010-06-30,"Q3",2010-09-30,1.66575342465753,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.111022923587933,0.241987206261589
"99",2010-07-01,2010-09-30,"Q4",2010-09-30,1.74794520547945,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.063493052813436,0.111137848751961
"100",2010-08-01,2010-09-30,"Q4",2010-09-30,1.83287671232877,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.17133071834617,0.115282231582513
"101",2010-09-01,2010-09-30,"Q4",2010-09-30,1.91780821917808,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.327831562066752,0.18755177774212
"102",2010-11-01,2010-12-31,"Q1",2011-03-15,2.08493150684932,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0523544019932858,0.183838894135403
"103",2010-12-01,2010-12-31,"Q1",2011-03-15,2.16712328767123,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0717880821548468,0.150658015404962
"104",2011-01-01,2011-03-31,"Q2",2011-03-15,2.25205479452055,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0486991171737306,0.0576138671072877
"105",2011-02-01,2011-03-31,"Q2",2011-03-15,2.33698630136986,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0308205755035669,0.0504359249440481
"106",2011-03-01,2011-03-31,"Q2",2011-03-15,2.41369863013699,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.113754464855225,0.0644247191775073
"107",2011-04-01,2011-06-30,"Q3",2011-09-30,2.4986301369863,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",-0.0281992975451112,0.0387919142712267
"108",2011-06-01,2011-06-30,"Q3",2011-09-30,2.66575342465753,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.107100115159463,0.0642184274898587
"109",2011-07-01,2011-09-30,"Q4",2011-09-30,2.74794520547945,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0514364364771297,0.0434457513638271
"110",2011-08-01,2011-09-30,"Q4",2011-09-30,2.83287671232877,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.234576850199329,0.131037800611974
"111",2011-09-01,2011-09-30,"Q4",2011-09-30,2.91780821917808,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.137934334473353,0.141315873716604
"112",2011-10-01,2011-12-31,"Q1",2012-09-30,3,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00139455634847081,0.124635247007051
"113",2011-11-01,2011-12-31,"Q1",2012-09-30,3.08493150684932,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0170685785398002,0.052132489787208
"114",2011-12-01,2011-12-31,"Q1",2012-09-30,3.16712328767123,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0560802709195757,0.0248478019359489
"115",2012-01-01,2012-03-31,"Q2",2012-09-30,3.25205479452055,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0262131790340851,0.033120676164487
"116",2012-04-01,2012-06-30,"Q3",2012-09-30,3.5013698630137,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.116242758088765,0.066178736014142
"117",2012-05-01,2012-06-30,"Q3",2012-09-30,3.58356164383562,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0373760953042941,0.0599440108090482
"118",2012-06-01,2012-06-30,"Q3",2012-09-30,3.66849315068493,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0978385387910617,0.0838191307280404
"119",2012-09-01,2012-09-30,"Q4",2012-09-30,3.92054794520548,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.230770579651941,0.121995071249099
"120",2012-12-01,2012-12-31,"Q1",2013-09-30,4.16986301369863,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.105187714022951,0.144598944155318
"121",2013-01-01,2013-03-31,"Q2",2013-09-30,4.25479452054795,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.000790520171524322,0.112249604615472
"122",2013-02-01,2013-03-31,"Q2",2013-09-30,4.33972602739726,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00900112934284554,0.0383264545124403
"123",2009-04-01,2009-06-30,"Q3",2009-09-30,0.498630136986301,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.026722788298333,0.0121714792709009
"124",2013-04-01,2013-06-30,"Q3",2013-09-30,4.5013698630137,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.017080694272875,0.0176015373046845
"125",2009-06-01,2009-06-30,"Q3",2009-09-30,0.665753424657534,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.425274295713358,0.156359259428189
"126",2013-05-01,2013-06-30,"Q3",2013-09-30,4.58356164383562,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0217292317191023,0.154694740568445
"127",2013-09-01,2013-09-30,"Q4",2013-09-30,4.92054794520548,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0925959498825023,0.179866492438321
"128",2013-12-01,2013-12-31,"Q1",2014-09-30,5.16986301369863,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0048635525834,0.0397295780616682
"129",2009-11-01,2009-12-31,"Q1",2010-09-30,1.08493150684932,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00274238612537441,0.0334006295304256
"130",2014-05-01,2014-06-30,"Q3",2014-09-30,5.58356164383562,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.000697555548,0.0027678314189248
"131",2010-01-01,2010-03-31,"Q2",2010-09-30,1.25205479452055,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0212193390671801,0.00821976024685152
"132",2014-07-01,2014-09-30,"Q4",2014-09-30,5.75068493150685,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0008032173956,0.00757337067026005
"133",2014-08-01,2014-09-30,"Q4",2014-09-30,5.83561643835616,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",-0.0076587190301,0.00478794581089338
"134",2010-10-01,2010-12-31,"Q1",2011-03-15,2,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00475889622324801,-0.000698868470417331
"135",2011-05-01,2011-06-30,"Q3",2011-09-30,2.58082191780822,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0391666281368023,0.0120889351099835
"136",2012-02-01,2012-03-31,"Q2",2012-09-30,3.33698630136986,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0538344756358768,0.0325866666653091
"137",2012-03-01,2012-03-31,"Q2",2012-09-30,3.41643835616438,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0660877082792709,0.0530296040173167
"138",2012-07-01,2012-09-30,"Q4",2012-09-30,3.75068493150685,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0210607010194625,0.0469942949782034
"139",2012-10-01,2012-12-31,"Q1",2013-09-30,4.0027397260274,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00241448519955316,0.0298542981660955
"140",2012-08-01,2012-09-30,"Q4",2012-09-30,3.83561643835616,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.181983432437442,0.0684862062188192
"141",2013-03-01,2013-03-31,"Q2",2013-09-30,4.41643835616438,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.021454670809282,0.0686175294820924
"142",2012-11-01,2012-12-31,"Q1",2013-09-30,4.08767123287671,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.00777664011831015,0.0704049144550114
"143",2013-07-01,2013-09-30,"Q4",2013-09-30,4.75068493150685,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0146695291403473,0.0146336133559798
"144",2013-10-01,2013-12-31,"Q1",2014-09-30,5.0027397260274,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",-0.0065121526841,0.00531133885818582
"145",2013-11-01,2013-12-31,"Q1",2014-09-30,5.08767123287671,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0098485094414,0.00600196196588244
"146",2013-06-01,2013-06-30,"Q3",2013-09-30,4.66849315068493,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.104718475340814,0.0360182773660382
"147",2013-08-01,2013-09-30,"Q4",2013-09-30,4.83561643835616,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0274897383448766,0.0473522410423637
"148",2014-06-01,2014-06-30,"Q3",2014-09-30,5.66849315068493,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0205999762129,0.0509360632995304
"149",2014-01-01,2014-03-31,"Q2",2014-09-30,5.25479452054795,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0041576695623,0.0174157947066922
"150",2014-02-01,2014-03-31,"Q2",2014-09-30,5.33972602739726,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",-0.0004040312673,0.00811787150263333
"151",2014-04-01,2014-06-30,"Q3",2014-09-30,5.5013698630137,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0031456758814,0.00229977139213333
"152",2014-09-01,2014-09-30,"Q4",2014-09-30,5.92054794520548,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0352317291072,0.0126577912404333
"153",2014-03-01,2014-03-31,"Q2",2014-09-30,5.41643835616438,"Combination","Army","CARTER
pre-2009 NDAA
Sec. 864 Impl.",0.0049347086601,0.0144373712162333
"154",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Navy","YOUNG",0.157868156268942,NA
"155",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Combination","Navy","YOUNG",0.364607505185767,NA
"156",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Combination","Navy","YOUNG",0.235603672527115,0.252693111327275
"157",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Combination","Navy","YOUNG",0.0765000972451193,0.225570424986
"158",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Combination","Navy","YOUNG",0.329433893145336,0.21384588763919
"159",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Combination","Navy","YOUNG",0.112192584598698,0.172708858329718
"160",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Combination","Navy","YOUNG",0.109066788394794,0.183564422046276
"161",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Combination","Navy","YOUNG",0.218214952841649,0.146491441945047
"162",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Combination","Navy","YOUNG",0.177159250911063,0.168146997382502
"163",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Combination","Navy","YOUNG",0.206960329045553,0.200778177599422
"164",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Combination","Navy","YOUNG",0.229844549295011,0.204654709750542
"165",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Combination","Navy","YOUNG",0.306930988275488,0.247911955538684
"166",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Combination","Navy","YOUNG",0.220771364522777,0.252515634031092
"167",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Combination","Navy","YOUNG",1.14007811404555,0.555926822281273
"168",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Combination","Navy","YOUNG",0.456358531067331,0.605736003211887
"169",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Combination","Navy","YOUNG",0.563839922981165,0.720092189364683
"170",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Combination","Navy","YOUNG",6.14295786000217,2.38771877135022
"171",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Combination","Navy","YOUNG",0.340997827570903,2.34926520351808
"172",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Combination","Navy","YOUNG",0.355454070448149,2.27980325267374
"173",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Combination","Navy","YOUNG",1.57111747009093,0.75585645603666
"174",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"Combination","Navy","YOUNG",0.324353417861009,0.750308319466696
"175",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Combination","Navy","YOUNG",0.285319338763802,0.726930075571913
"176",2009-06-01,2009-06-30,"Q3",2009-09-30,2.66849315068493,"Combination","Navy","YOUNG",0.322654791437541,0.310775849354117
"177",2009-07-01,2009-09-30,"Q4",2009-09-30,2.75068493150685,"Combination","Navy","YOUNG",0.196697888016887,0.268224006072743
"178",2009-08-01,2009-09-30,"Q4",2009-09-30,2.83561643835616,"Combination","Navy","YOUNG",0.143476062134661,0.220942913863029
"179",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Combination","Navy","YOUNG",0.285184243515913,0.208452731222487
"180",2009-10-01,2009-12-31,"Q1",2010-09-30,3.0027397260274,"Combination","Navy","YOUNG",0.026946392190843,0.151868899280472
"181",2009-11-01,2009-12-31,"Q1",2010-09-30,3.08767123287671,"Combination","Navy","YOUNG",0.00784453691698759,0.106658390874581
"182",2009-12-01,2009-12-31,"Q1",2010-09-30,3.16986301369863,"Combination","Navy","YOUNG",0.129473160483526,0.0547546965304521
