"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Army","YOUNG",0.453248538623863,NA
"2",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Combination","Army","YOUNG",0.771855246986194,NA
"3",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Combination","Army","YOUNG",0.0682761044251627,0.43112663001174
"4",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Combination","Army","YOUNG",0.199718256247289,0.346616535886215
"5",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Combination","Army","YOUNG",0.247481178112798,0.171825179595083
"6",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Combination","Army","YOUNG",0.517261898015184,0.321487110791757
"7",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Combination","Army","YOUNG",0.329345461691974,0.364696179273319
"8",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Combination","Army","YOUNG",0.278329010021692,0.374978789909617
"9",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Combination","Army","YOUNG",0.345295245574837,0.317656572429501
"10",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Combination","Army","YOUNG",0.314173818655098,0.312599358083876
"11",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Combination","Army","YOUNG",0.511348031203904,0.390272365144613
"12",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Combination","Army","YOUNG",0.610577896149675,0.478699915336225
"13",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Combination","Army","YOUNG",0.549398837733189,0.557108255028923
"14",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Combination","Army","YOUNG",2.2645741028308,1.14151694557122
"15",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Combination","Army","YOUNG",0.270854206375839,1.02827571564661
"16",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Combination","Army","YOUNG",0.38344141556614,0.97295657492426
"17",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Combination","Army","YOUNG",0.948592264851699,0.534295962264559
"18",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Combination","Army","YOUNG",0.965762788016887,0.765932156144909
"19",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Combination","Army","YOUNG",0.766320489846287,0.893558514238291
"20",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Combination","Army","YOUNG",0.548972954178394,0.760352077347189
"21",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"Combination","Army","YOUNG",0.351331763844988,0.555541735956556
"22",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Combination","Army","YOUNG",0.264254021205889,0.388186246409757
"23",2009-06-01,2009-06-30,"Q3",2009-09-30,2.66849315068493,"Combination","Army","YOUNG",0.59970503445551,0.405096939835462
"24",2009-07-01,2009-09-30,"Q4",2009-09-30,2.75068493150685,"Combination","Army","YOUNG",0.471218260521758,0.445059105394385
"25",2009-08-01,2009-09-30,"Q4",2009-09-30,2.83561643835616,"Combination","Army","YOUNG",0.537823509850617,0.536248934942628
"26",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Combination","Army","YOUNG",1.31578076164754,0.774940844006639
"27",2009-10-01,2009-12-31,"Q1",2010-09-30,3.0027397260274,"Combination","Army","YOUNG",0.00698795012836971,0.620197407208843
"28",2009-11-01,2009-12-31,"Q1",2010-09-30,3.08767123287671,"Combination","Army","YOUNG",0.0597630229567822,0.460843911577565
"29",2010-01-01,2010-03-31,"Q2",2010-09-30,3.25479452054795,"Combination","Army","YOUNG",0.0350670387997433,0.0339393372949651
"30",2010-02-01,2010-03-31,"Q2",2010-09-30,3.33972602739726,"Combination","Army","YOUNG",0.273497188339752,0.122775750032092
"31",2010-04-01,2010-06-30,"Q3",2010-09-30,3.5013698630137,"Combination","Army","YOUNG",0.230260051957638,0.179608093032378
"32",2010-05-01,2010-06-30,"Q3",2010-09-30,3.58356164383562,"Combination","Army","YOUNG",0.20488148817929,0.236212909492226
"33",2010-06-01,2010-06-30,"Q3",2010-09-30,3.66849315068493,"Combination","Army","YOUNG",0.0751570126658109,0.170099517600913
"34",2010-07-01,2010-09-30,"Q4",2010-09-30,3.75068493150685,"Combination","Army","YOUNG",0.160425226080445,0.146821242308515
"35",2010-08-01,2010-09-30,"Q4",2010-09-30,3.83561643835616,"Combination","Army","YOUNG",0.120141188232777,0.118574475659678
"36",2010-09-01,2010-09-30,"Q4",2010-09-30,3.92054794520548,"Combination","Army","YOUNG",0.355123704118528,0.211896706143917
"37",2010-11-01,2010-12-31,"Q1",2011-09-30,4.08767123287671,"Combination","Army","YOUNG",0.103059852664708,0.192774915005338
"38",2010-12-01,2010-12-31,"Q1",2011-09-30,4.16986301369863,"Combination","Army","YOUNG",0.124686243411666,0.194289933398301
"39",2011-01-01,2011-03-31,"Q2",2011-09-30,4.25479452054795,"Combination","Army","YOUNG",0.0702852631347042,0.0993437864036928
"40",2011-02-01,2011-03-31,"Q2",2011-09-30,4.33972602739726,"Combination","Army","YOUNG",0.11445887403483,0.103143460193733
"41",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Army","YOUNG",0.0351409944999439,0.073295043889826
"42",2011-04-01,2011-06-30,"Q3",2011-09-30,4.5013698630137,"Combination","Army","YOUNG",0.122540943537558,0.0907136040241105
"43",2011-06-01,2011-06-30,"Q3",2011-09-30,4.66849315068493,"Combination","Army","YOUNG",0.0996986197335292,0.0857935192570102
"44",2011-08-01,2011-09-30,"Q4",2011-09-30,4.83561643835616,"Combination","Army","YOUNG",0.0636919838019303,0.0953105156910057
"45",2011-09-01,2011-09-30,"Q4",2011-09-30,4.92054794520548,"Combination","Army","YOUNG",0.214598571527486,0.125996391687649
"46",2011-10-01,2011-12-31,"Q1",2012-09-30,5.0027397260274,"Combination","Army","YOUNG",0.0439538393986201,0.107414798242679
"47",2011-12-01,2011-12-31,"Q1",2012-09-30,5.16986301369863,"Combination","Army","YOUNG",0.085724618875502,0.114759009933869
"48",2012-01-01,2012-03-31,"Q2",2012-09-30,5.25479452054795,"Combination","Army","YOUNG",0.0460759328184533,0.0585847970308585
"49",2012-02-01,2012-03-31,"Q2",2012-09-30,5.33972602739726,"Combination","Army","YOUNG",0.0879169979198847,0.0732391832046133
"50",2012-03-01,2012-03-31,"Q2",2012-09-30,5.41917808219178,"Combination","Army","YOUNG",0.18559709287406,0.106530007870799
"51",2012-04-01,2012-06-30,"Q3",2012-09-30,5.5041095890411,"Combination","Army","YOUNG",0.039706634991247,0.104406908595064
"52",2012-05-01,2012-06-30,"Q3",2012-09-30,5.58630136986301,"Combination","Army","YOUNG",0.0483388125115848,0.0912141801256307
"53",2012-07-01,2012-09-30,"Q4",2012-09-30,5.75342465753425,"Combination","Army","YOUNG",0.0582448559468644,0.0487634344832321
"54",2012-09-01,2012-09-30,"Q4",2012-09-30,5.92328767123288,"Combination","Army","YOUNG",0.136526585871692,0.0810367514433804
"55",2012-10-01,2012-12-31,"Q1",2013-09-30,6.00547945205479,"Combination","Army","YOUNG",0.0101185699579567,0.068296670592171
"56",2012-12-01,2012-12-31,"Q1",2013-09-30,6.17260273972603,"Combination","Army","YOUNG",0.153208018287905,0.0999510580391845
"57",2013-01-01,2013-03-31,"Q2",2013-09-30,6.25753424657534,"Combination","Army","YOUNG",0.0294415663074033,0.064256051517755
"58",2013-03-01,2013-03-31,"Q2",2013-09-30,6.41917808219178,"Combination","Army","YOUNG",0.0294774822497207,0.0707090222816763
"59",2013-04-01,2013-06-30,"Q3",2013-09-30,6.5041095890411,"Combination","Army","YOUNG",0.0376068905636234,0.0321753130402491
"60",2013-05-01,2013-06-30,"Q3",2013-09-30,6.58630136986301,"Combination","Army","YOUNG",0.0206226551904133,0.0292356760012525
"61",2013-06-01,2013-06-30,"Q3",2013-09-30,6.67123287671233,"Combination","Army","YOUNG",0.213442693846552,0.0905574132001963
"62",2013-07-01,2013-09-30,"Q4",2013-09-30,6.75342465753425,"Combination","Army","YOUNG",0.0141274636439525,0.082730937560306
"63",2013-08-01,2013-09-30,"Q4",2013-09-30,6.83835616438356,"Combination","Army","YOUNG",0.0663926729760333,0.0979876101555127
"64",2013-10-01,2013-12-31,"Q1",2014-09-30,7.00547945205479,"Combination","Army","YOUNG",0.0007204585232,0.0270801983810619
"65",2013-11-01,2013-12-31,"Q1",2014-09-30,7.09041095890411,"Combination","Army","YOUNG",0.0015141716308,0.0228757677100111
"66",2013-12-01,2013-12-31,"Q1",2014-09-30,7.17260273972603,"Combination","Army","YOUNG",0.0587595334137,0.0203313878559
"67",2014-01-01,2014-03-31,"Q2",2014-09-30,7.25753424657534,"Combination","Army","YOUNG",-0.0012777925562,0.0196653041627667
"68",2014-02-01,2014-03-31,"Q2",2014-09-30,7.34246575342466,"Combination","Army","YOUNG",-0.0015854925072,0.0186320827834333
"69",2014-03-01,2014-03-31,"Q2",2014-09-30,7.41917808219178,"Combination","Army","YOUNG",0.1536109144537,0.0502492097967667
"70",2014-04-01,2014-06-30,"Q3",2014-09-30,7.5041095890411,"Combination","Army","YOUNG",0.0028474680541,0.0516242966668667
"71",2009-12-01,2009-12-31,"Q1",2010-09-30,3.16986301369863,"Combination","Army","YOUNG",0.120142996170304,0.0922004595593679
"72",2014-05-01,2014-06-30,"Q3",2014-09-30,7.58630136986301,"Combination","Army","YOUNG",0.0005090618998,0.0411665087080679
"73",2014-06-01,2014-06-30,"Q3",2014-09-30,7.67123287671233,"Combination","Army","YOUNG",-0.0007237090954,0.0399761163249013
"74",2014-07-01,2014-09-30,"Q4",2014-09-30,7.75342465753425,"Combination","Army","YOUNG",0.0132904952408,0.00435861601506667
"75",2014-08-01,2014-09-30,"Q4",2014-09-30,7.83835616438356,"Combination","Army","YOUNG",0.0018542501982,0.00480701211453333
"76",2010-03-01,2010-03-31,"Q2",2010-09-30,3.41643835616438,"Combination","Army","YOUNG",0.0811677133718443,0.0321041529369481
"77",2010-10-01,2010-12-31,"Q1",2011-09-30,4.0027397260274,"Combination","Army","YOUNG",0.115800581934536,0.0662741818348602
"78",2011-03-01,2011-03-31,"Q2",2011-09-30,4.41643835616438,"Combination","Army","YOUNG",0.132643326091062,0.109870540465814
"79",2011-05-01,2011-06-30,"Q3",2011-09-30,4.58356164383562,"Combination","Army","YOUNG",0.0672333624947545,0.105225756840117
"80",2011-07-01,2011-09-30,"Q4",2011-09-30,4.75068493150685,"Combination","Army","YOUNG",0.0752318601657574,0.0917028495838579
"81",2011-11-01,2011-12-31,"Q1",2012-09-30,5.08767123287671,"Combination","Army","YOUNG",0.0331443389661209,0.0585365205422109
"82",2012-06-01,2012-06-30,"Q3",2012-09-30,5.67123287671233,"Combination","Army","YOUNG",0.0399608286273298,0.0494456759197361
"83",2012-08-01,2012-09-30,"Q4",2012-09-30,5.83835616438356,"Combination","Army","YOUNG",0.0394289232622799,0.0375113636185769
"84",2013-02-01,2013-03-31,"Q2",2013-09-30,6.34246575342466,"Combination","Army","YOUNG",0.0246375160002031,0.0346757559632709
"85",2012-11-01,2012-12-31,"Q1",2013-09-30,6.09041095890411,"Combination","Army","YOUNG",0.0344496840327003,0.0328387077650611
"86",2013-09-01,2013-09-30,"Q4",2013-09-30,6.92328767123288,"Combination","Army","YOUNG",0.0125728675560069,0.0238866891963034
"87",2014-09-01,2014-09-30,"Q4",2014-09-30,7.92328767123288,"Combination","Army","YOUNG",0.0341041613118,0.0270422376335024
