"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Pricing.Mechanism.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Army","YOUNG",0.0351409944999439,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Navy","YOUNG",0.0247286909192951,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Air Force","YOUNG",0.0138855146481087,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","DLA","YOUNG",0.00727628690088674,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Combination","Additional
DoD
Components","YOUNG",0.0195222707374565,NA
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","Army","YOUNG",0.136100628622741,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","Navy","YOUNG",0.291263495353014,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","Air Force","YOUNG",0.0912353301156134,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","DLA","YOUNG",0.000112246043326973,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","MDA","YOUNG",0.00112227522729824,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Cost+","Additional
DoD
Components","YOUNG",0.032215059546526,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","Army","YOUNG",2.5353993730834,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","Navy","YOUNG",1.14482797604669,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","Air Force","YOUNG",1.14919692301044,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","DLA","YOUNG",0.62229096908744,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","MDA","YOUNG",0.000226945785161073,NA
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","Military
Health","YOUNG",3.6641598383657e-05,NA
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Fixed","Additional
DoD
Components","YOUNG",0.100016020024694,NA
"19",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Time/Mat.","Army","YOUNG",0.0874307848580087,NA
"20",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Time/Mat.","Navy","YOUNG",0.0135558287125379,NA
"21",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Time/Mat.","Air Force","YOUNG",0.0480112621169604,NA
"22",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Time/Mat.","DLA","YOUNG",0.000294817431810529,NA
"23",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Time/Mat.","Additional
DoD
Components","YOUNG",0.00681948479066113,NA
"24",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Army","YOUNG",0,NA
"25",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Navy","YOUNG",0,NA
"26",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Air Force","YOUNG",0,NA
"27",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Army","YOUNG",0.453248538623863,NA
"28",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Navy","YOUNG",0.157868156268942,NA
"29",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Air Force","YOUNG",0.0275131524301268,NA
"30",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","DLA","YOUNG",0.0594547581097766,NA
"31",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","MDA","YOUNG",0.000208101919407341,NA
"32",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Combination","Additional
DoD
Components","YOUNG",0.0565289987652935,NA
"33",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","Army","YOUNG",0.327140728050286,NA
"34",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","Navy","YOUNG",0.49826413093501,NA
"35",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","Air Force","YOUNG",0.320288284891683,NA
"36",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","DLA","YOUNG",0.00121929509484791,NA
"37",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","MDA","YOUNG",0.00745212930744191,NA
"38",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Cost+","Additional
DoD
Components","YOUNG",0.121930404085756,NA
"39",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Fixed","Army","YOUNG",5.23998054783926,NA
"40",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Fixed","Navy","YOUNG",2.83216603469301,NA
"41",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Fixed","Air Force","YOUNG",1.86623442156246,NA
"42",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Fixed","DLA","YOUNG",2.99387311707262,NA
"43",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Fixed","MDA","YOUNG",0.00328494892805029,NA
