"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Competition.sum","Competition.effective.only","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","Army","YOUNG",0.391365430216635,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","Navy","YOUNG",0.142460031990122,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","Air Force","YOUNG",0.0768151442473903,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","DLA","YOUNG",0.0580862838926928,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","MDA","YOUNG",0.000210996744864744,0.0131707683319015
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"1 Offer","Not Effective Comp.","Additional
DoD
Components","YOUNG",0.0322883648894376,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"2 Offers","Effective Comp.","Army","YOUNG",0.34352959714895,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"2 Offers","Effective Comp.","Navy","YOUNG",0.108850393399933,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"2 Offers","Effective Comp.","Air Force","YOUNG",0.0734385178358963,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"2 Offers","Effective Comp.","DLA","YOUNG",0.186357586687619,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"2 Offers","Effective Comp.","Additional
DoD
Components","YOUNG",0.0391393235941183,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","Army","YOUNG",0.933110750241329,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","Navy","YOUNG",0.653371098608149,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","Air Force","YOUNG",0.236023164575149,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","DLA","YOUNG",0.31099599007745,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","MDA","YOUNG",0.00112227522729824,0.0068016950540741
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","Military
Health","YOUNG",3.6641598383657e-05,0.0148100217212383
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"3+ Offers","Effective Comp.","Additional
DoD
Components","YOUNG",0.0417275492311146,NA
"19",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","Army","YOUNG",1.1222149263217,NA
"20",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","Navy","YOUNG",0.555385252811763,NA
"21",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","Air Force","YOUNG",0.91424201857672,NA
"22",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","DLA","YOUNG",0.0674961997418341,NA
"23",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","MDA","YOUNG",1.59490402963296e-05,0.0358464450524777
"24",2007-09-30,"Q4",2007-09-30,0.747945205479452,"No Comp.","Not Effective Comp.","Additional
DoD
Components","YOUNG",0.0453443831518689,NA
"25",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Unlabeled","Army","YOUNG",0.00385107713548097,NA
"26",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Unlabeled","Navy","YOUNG",0.0143092142215737,NA
"27",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Unlabeled","Air Force","YOUNG",0.00181018465596588,NA
"28",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Unlabeled","DLA","YOUNG",0.007038259063868,0.00534361831051565
"29",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Unlabeled","Additional
DoD
Components","YOUNG",7.32142327982939e-05,NA
"30",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","Army","YOUNG",1.32974076707824,NA
"31",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","Navy","YOUNG",0.424728706858233,NA
"32",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","Air Force","YOUNG",0.400801854562802,NA
"33",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","DLA","YOUNG",0.0873211395442811,NA
"34",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","MDA","YOUNG",0.00225086990683578,0.0127281532851827
"35",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","Military
Health","YOUNG",1.68048602536761e-05,0.000180314179873026
"36",2007-09-30,"Q4",2007-09-30,0.832876712328767,"1 Offer","Not Effective Comp.","Additional
DoD
Components","YOUNG",0.185610583915142,NA
"37",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","Army","YOUNG",0.895297970187451,NA
"38",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","Navy","YOUNG",0.436500854282187,NA
"39",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","Air Force","YOUNG",0.307797617173645,NA
"40",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","DLA","YOUNG",0.501834798507128,NA
"41",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","MDA","YOUNG",0.000364348411718487,0.000152432889485965
"42",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","Military
Health","YOUNG",0,0.000200771343003536
"43",2007-09-30,"Q4",2007-09-30,0.832876712328767,"2 Offers","Effective Comp.","Additional
DoD
Components","YOUNG",0.0631158561903693,NA
"44",2007-09-30,"Q4",2007-09-30,0.832876712328767,"3+ Offers","Effective Comp.","Army","YOUNG",2.42465045799753,NA
"45",2007-09-30,"Q4",2007-09-30,0.832876712328767,"3+ Offers","Effective Comp.","Navy","YOUNG",1.4907966016141,NA
"46",2007-09-30,"Q4",2007-09-30,0.832876712328767,"3+ Offers","Effective Comp.","Air Force","YOUNG",0.779781912425637,NA
