"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Vehicle.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"BPA","Navy","YOUNG",0.000230539903468403,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","Army","YOUNG",0.765046049522954,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","Navy","YOUNG",0.297237826029857,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","Air Force","YOUNG",0.206345146267819,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","DLA","YOUNG",0.0279502709619486,NA
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","MDA","YOUNG",0.00112227522729824,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Definitive","Additional
DoD
Components","YOUNG",0.0186903850039286,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","Army","YOUNG",0.0824185175552812,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","Navy","YOUNG",0.0579338955550567,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","Air Force","YOUNG",0.0514619226400269,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","DLA","YOUNG",0.0068312598495903,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","MDA","YOUNG",0.000226945785161073,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FSS","Additional
DoD
Components","YOUNG",0.00929837113031766,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Multi-Awd.","Army","YOUNG",0.338473344943316,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Multi-Awd.","Navy","YOUNG",0.105587865091481,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Multi-Awd.","Air Force","YOUNG",0.148843242608598,NA
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Multi-Awd.","DLA","YOUNG",0.0380917150185206,NA
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Multi-Awd.","Additional
DoD
Components","YOUNG",0.0217122303288809,NA
"19",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other IDV","Army","YOUNG",0.00553785161073072,NA
"20",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other IDV","Navy","YOUNG",0.00407260521944101,NA
"21",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other IDV","Air Force","YOUNG",0.000477598776518128,NA
"22",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other IDV","DLA","YOUNG",0.000229089953979122,NA
"23",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Other IDV","Additional
DoD
Components","YOUNG",0.00781887966101695,NA
"24",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Pur. Order","Army","YOUNG",0.166412092939724,NA
"25",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Pur. Order","Navy","YOUNG",0.0637536102031653,NA
"26",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Pur. Order","Air Force","YOUNG",0.035001862666966,NA
"27",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Pur. Order","DLA","YOUNG",0.0967117450331126,NA
"28",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Pur. Order","Additional
DoD
Components","YOUNG",0.0114899292849927,NA
"29",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","Army","YOUNG",1.43573413795039,NA
"30",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","Navy","YOUNG",0.945335385329442,NA
"31",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","Air Force","YOUNG",0.858652579683466,NA
"32",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","DLA","YOUNG",0.459579625782916,NA
"33",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","Military
Health","YOUNG",3.6641598383657e-05,NA
"34",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Single-Awd.","Additional
DoD
Components","YOUNG",0.0894879381075317,NA
"35",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlbd. IDV","Army","YOUNG",0.000449786541699405,NA
"36",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlbd. IDV","Navy","YOUNG",0.000224263699629588,NA
