"","Fiscal.Year","SinceFirstFiscalYear","Vehicle.sum","SubCustomer.component","ATLpolicy","Obligation.2014"
"163",2008-09-30,1,"Single-Awd.","Additional
DoD
Components","YOUNG",0.262161040639913
"164",2008-09-30,1,"Unlbd. IDV","Army","YOUNG",0.00702853197396963
"165",2008-09-30,1,"Unlbd. IDV","Navy","YOUNG",0.00106698264642082
"166",2008-09-30,1,"Unlbd. IDV","Air Force","YOUNG",0.000358492396963124
"167",2008-09-30,1,"Unlbd. IDV","DLA","YOUNG",0.00436555878524946
"168",2008-09-30,1,"Unlbd. IDV","Additional
DoD
Components","YOUNG",3.90455531453362e-05
"169",2008-09-30,1.08493150684932,"BPA","Air Force","YOUNG",3.56691973969631e-05
"170",2008-09-30,1.08493150684932,"Definitive","Army","YOUNG",0.949865611518438
"171",2008-09-30,1.08493150684932,"Definitive","Navy","YOUNG",0.723730696442516
"172",2008-09-30,1.08493150684932,"Definitive","Air Force","YOUNG",0.307449905596529
"173",2008-09-30,1.08493150684932,"Definitive","DLA","YOUNG",0.0752751265184382
"174",2008-09-30,1.08493150684932,"Definitive","MDA","YOUNG",0.00698609110629067
"175",2008-09-30,1.08493150684932,"Definitive","Additional
DoD
Components","YOUNG",0.0396139856073753
"176",2008-09-30,1.08493150684932,"FSS","Army","YOUNG",0.224276167331887
"177",2008-09-30,1.08493150684932,"FSS","Navy","YOUNG",0.121628912624729
"178",2008-09-30,1.08493150684932,"FSS","Air Force","YOUNG",0.0352897518112798
"179",2008-09-30,1.08493150684932,"FSS","DLA","YOUNG",0.002730650835141
"180",2008-09-30,1.08493150684932,"FSS","MDA","YOUNG",0.00222840130151844
"181",2008-09-30,1.08493150684932,"FSS","Additional
DoD
Components","YOUNG",0.027775560032538
"182",2008-09-30,1.08493150684932,"Multi-Awd.","Army","YOUNG",0.539693709642082
"183",2008-09-30,1.08493150684932,"Multi-Awd.","Navy","YOUNG",0.166107601670282
"184",2008-09-30,1.08493150684932,"Multi-Awd.","Air Force","YOUNG",0.094934565802603
"185",2008-09-30,1.08493150684932,"Multi-Awd.","DLA","YOUNG",0.150125431626898
"186",2008-09-30,1.08493150684932,"Multi-Awd.","Additional
DoD
Components","YOUNG",0.262014982895878
"187",2008-09-30,1.08493150684932,"Other IDV","Army","YOUNG",0.0311768459869848
"188",2008-09-30,1.08493150684932,"Other IDV","Navy","YOUNG",0.00491102247288503
"189",2008-09-30,1.08493150684932,"Other IDV","Air Force","YOUNG",0.0117540847939262
"190",2008-09-30,1.08493150684932,"Other IDV","DLA","YOUNG",8.65902169197397e-05
"191",2008-09-30,1.08493150684932,"Other IDV","Additional
DoD
Components","YOUNG",0.0295738404229935
"192",2008-09-30,1.08493150684932,"Pur. Order","Army","YOUNG",0.328459441572668
"193",2008-09-30,1.08493150684932,"Pur. Order","Navy","YOUNG",0.0792809226247289
"194",2008-09-30,1.08493150684932,"Pur. Order","Air Force","YOUNG",0.0320784162364425
"195",2008-09-30,1.08493150684932,"Pur. Order","DLA","YOUNG",0.230733619262473
"196",2008-09-30,1.08493150684932,"Pur. Order","MDA","YOUNG",2.23752711496746e-05
"197",2008-09-30,1.08493150684932,"Pur. Order","Additional
DoD
Components","YOUNG",0.0148083870390456
"198",2008-09-30,1.08493150684932,"Single-Awd.","Army","YOUNG",2.54805431312364
"199",2008-09-30,1.08493150684932,"Single-Awd.","Navy","YOUNG",0.764792242180043
"200",2008-09-30,1.08493150684932,"Single-Awd.","Air Force","YOUNG",0.943489798893709
"201",2008-09-30,1.08493150684932,"Single-Awd.","DLA","YOUNG",1.31801954399132
"202",2008-09-30,1.08493150684932,"Single-Awd.","MDA","YOUNG",0.00346827440347072
"203",2008-09-30,1.08493150684932,"Single-Awd.","Military
Health","YOUNG",0.0506763912147505
"204",2008-09-30,1.08493150684932,"Single-Awd.","Additional
DoD
Components","YOUNG",0.385366842646421
"205",2008-09-30,1.08493150684932,"Unlbd. IDV","Army","YOUNG",0.00583784598698482
"206",2008-09-30,1.08493150684932,"Unlbd. IDV","Navy","YOUNG",0.00125955206073753
"207",2008-09-30,1.08493150684932,"Unlbd. IDV","Air Force","YOUNG",0.00155797830802603
"208",2008-09-30,1.08493150684932,"Unlbd. IDV","DLA","YOUNG",0.00088844251626898
"209",2008-09-30,1.08493150684932,"Unlbd. IDV","Additional
DoD
Components","YOUNG",0.000314288503253796
"210",2008-09-30,1.16712328767123,"BPA","Army","YOUNG",2.49457700650759e-05
"211",2008-09-30,1.16712328767123,"Definitive","Army","YOUNG",5.51210986190889
"212",2008-09-30,1.16712328767123,"Definitive","Navy","YOUNG",0.728488415488069
"213",2008-09-30,1.16712328767123,"Definitive","Air Force","YOUNG",0.373362987765727
"214",2008-09-30,1.16712328767123,"Definitive","DLA","YOUNG",0.0674786561388286
