"","SignedMonth","Vehicle.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-09-01,"BPA","Army","YOUNG",1.08777640588169e-05,NA
"2",2007-10-01,"BPA","Army","YOUNG",1.03524945770065e-05,NA
"3",2007-12-01,"BPA","Army","YOUNG",2.49457700650759e-05,1.53920095669665e-05
"4",2008-09-01,"BPA","Army","YOUNG",5.88560737527115e-05,3.13847794649313e-05
"5",2008-11-01,"BPA","Army","YOUNG",0.000936276012123836,0.000340025951980541
"6",2008-12-01,"BPA","Army","YOUNG",2.74410045464386e-06,0.000332625395443731
"7",2009-03-01,"BPA","Army","YOUNG",0,0.000313006704192827
"8",2009-04-01,"BPA","Army","YOUNG",0,9.14700151547954e-07
"9",2009-06-01,"BPA","Army","YOUNG",-1.6526759038753e-05,-5.50891967958433e-06
"10",2009-08-01,"BPA","Army","CARTER",1.17368153279931e-05,NA
"11",2009-09-01,"BPA","Army","CARTER",4.06148516995021e-06,NA
"12",2009-10-01,"BPA","Army","CARTER",3.76000855798032e-05,1.77994620259155e-05
"13",2009-11-01,"BPA","Army","CARTER",0.00306052675438597,0.00103406277504524
"14",2009-12-01,"BPA","Army","CARTER",0.00725344891955499,0.00345052525317358
"15",2010-01-01,"BPA","Army","CARTER",0.00880645590500642,0.00637347719298246
"16",2010-02-01,"BPA","Army","CARTER",0.0105501571994009,0.00887002067465411
"17",2010-03-01,"BPA","Army","CARTER",0.022531869127086,0.0139628274104978
"18",2010-04-01,"BPA","Army","CARTER",0.0330421678326915,0.0220413980530595
"19",2010-05-01,"BPA","Army","CARTER",0.0394442475395807,0.031672761499786
"20",2010-06-01,"BPA","Army","CARTER",0.0386194201326487,0.0370352785016403
"21",2010-07-01,"BPA","Army","CARTER",0.0251894160997005,0.0344176945906433
"22",2010-08-01,"BPA","Army","CARTER",0.101600992811297,0.0551366096812152
"23",2010-09-01,"BPA","Army","CARTER",0.151200826166025,0.0926637450256739
"24",2010-10-01,"BPA","Army","CARTER",0.0232624846412086,0.0920214345395099
"25",2010-11-01,"BPA","Army","CARTER",0.0465290154951741,0.0736641087674692
"26",2010-12-01,"BPA","Army","CARTER",0.0891850030423835,0.0529921677262554
"27",2011-01-01,"BPA","Army","CARTER",0.0444194242971045,0.0600444809448874
"28",2011-02-01,"BPA","Army","CARTER",0.0697818536193873,0.0677954269862918
"29",2011-03-01,"BPA","Army","CARTER",0.10669643798783,0.0736325719681074
"30",2011-04-01,"BPA","Army","CARTER",0.0671285863932018,0.0812022926668065
"31",2011-05-01,"BPA","Army","CARTER",0.0814608699748216,0.085095298118618
"32",2011-06-01,"BPA","Army","CARTER",0.0865068286823332,0.0783654283501189
"33",2011-07-01,"BPA","Army","CARTER",0.0841032624213177,0.0840236536928242
"34",2011-08-01,"BPA","Army","CARTER",0.114641318946706,0.0950838033501189
"35",2011-09-01,"BPA","Army","CARTER",0.150911526972304,0.116552036113442
"36",2011-10-01,"BPA","Army","CARTER",0.0364188029451138,0.100657216288041
"37",2011-11-01,"BPA","Army","CARTER",0.00478710364535063,0.0640391445209227
"38",2011-12-01,"BPA","Army","CARTER",0.0422239789517043,0.0278099618473896
"39",2012-01-01,"BPA","Army","CARTER",0.00340129831119349,0.0168041269694161
"40",2012-02-01,"BPA","Army","CARTER",0.0024724343116054,0.0160325705248344
"41",2012-03-01,"BPA","Army","CARTER",0.0549138705591597,0.0202625343939862
"42",2012-04-01,"BPA","Army","CARTER",0.00478095342395222,0.0207224194315724
"43",2012-05-01,"BPA","Army","CARTER",0.00733480123571208,0.0223432084062747
"44",2012-06-01,"BPA","Army","CARTER",0.00496775857275255,0.00569450441080562
"45",2012-07-01,"BPA","Army","CARTER",0.010139093193286,0.00748055100058353
"46",2012-08-01,"BPA","Army","CARTER",0.00432993262279889,0.00647892812961247
"47",2012-09-01,"BPA","Army","CARTER",0.00699146952939965,0.00715349844849483
"48",2012-10-01,"BPA","Army","CARTER",0.00076438707159541,0.00402859640793132
"49",2012-11-01,"BPA","Army","CARTER",0.00231753974662334,0.00335779878253947
"50",2012-12-01,"BPA","Army","CARTER",0.0564949918348736,0.0198589728843641
"51",2013-01-01,"BPA","Army","CARTER",0.00469116958911344,0.0211679003902034
"52",2013-02-01,"BPA","Army","CARTER",0.0022676627807454,0.0211512747349108
"53",2013-03-01,"BPA","Army","CARTER",0.00552055864760841,0.00415979700582242
"54",2013-04-01,"BPA","Army","CARTER",0.00390360983091297,0.00389727708642226
"55",2013-05-01,"BPA","Army","CARTER",0.00189987512663755,0.00377468120171964
"56",2013-06-01,"BPA","Army","CARTER",0.0117159982998883,0.0058398277524796
"57",2013-07-01,"BPA","Army","CARTER",-0.0065690828143597,0.00234893020405538
"58",2013-08-01,"BPA","Army","CARTER",0.00645850932192546,0.00386847493581802
"59",2013-09-01,"BPA","Army","CARTER",0.00372758874073322,0.00120567174943299
"60",2013-10-01,"BPA","Army","CARTER",-0.0002165759482,0.00332317403815289
"61",2013-11-01,"BPA","Army","CARTER",0.024852279361,0.00945443071784441
"62",2013-12-01,"BPA","Army","CARTER",0.0002615805487,0.00829909465383333
"63",2014-01-01,"BPA","Army","CARTER",0.0031831390765,0.0094323329954
"64",2014-02-01,"BPA","Army","CARTER",0.0057936988221,0.00307947281576667
"65",2014-03-01,"BPA","Army","CARTER",0.0053386550107,0.00477183096976667
"66",2014-04-01,"BPA","Army","CARTER",0.0034550134917,0.00486245577483333
"67",2014-05-01,"BPA","Army","CARTER",0.002125030534,0.00363956634546667
"68",2014-06-01,"BPA","Army","CARTER",0.0076462151938,0.00440875307316667
"69",2014-07-01,"BPA","Army","CARTER",0.0095570690745,0.00644277160076667
"70",2014-08-01,"BPA","Army","CARTER",0.0015221258421,0.00624180337013333
"71",2014-09-01,"BPA","Army","CARTER",0.0070607251015,0.00604664000603333
"72",2011-11-01,"BPA","Army","KENDALL",0.0342427841210998,NA
"73",2011-12-01,"BPA","Army","KENDALL",0.0613236763258161,NA
"74",2012-01-01,"BPA","Army","KENDALL",0.0574997743383792,0.051022078261765
