"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"180",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ground Vehicles","DLA","YOUNG",0.0968208112798265,0.0908275015184382
"181",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ground Vehicles","Additional
DoD
Components","YOUNG",0.00018640021691974,0.00498751048445409
"182",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Launchers & Munitions","Army","YOUNG",0.159361128915401,0.228512382010123
"183",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Launchers & Munitions","Navy","YOUNG",0.0248364969088937,0.0444040153796095
"184",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Launchers & Munitions","Air Force","YOUNG",0.142040514577007,0.0768021467317426
"185",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Launchers & Munitions","DLA","YOUNG",0.0123414186550976,0.0104699887924801
"186",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Launchers & Munitions","Additional
DoD
Components","YOUNG",0.00126923270065076,0.00176872651843818
"187",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Missiles & Space","Army","YOUNG",0.0114119526898048,0.290071133300795
"188",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Missiles & Space","Navy","YOUNG",0.20101439626898,0.102114252284888
"189",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Missiles & Space","Air Force","YOUNG",0.274246255618221,0.0933141360122921
"190",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Missiles & Space","DLA","YOUNG",0.00187675112798265,0.00149685067245119
"191",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Missiles & Space","Additional
DoD
Components","YOUNG",0.00156118600867679,0.000666589117859725
"192",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","Army","YOUNG",1.10413942262473,0.839136370788142
"193",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","Navy","YOUNG",0.0983489031019523,0.0900567085213304
"194",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","Air Force","YOUNG",0.0436375157809111,0.0545980753326103
"195",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","DLA","YOUNG",0.317835137082429,0.294674864866233
"196",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","MDA","YOUNG",6.35140997830803e-06,2.52660882140275e-05
"197",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Other","Additional
DoD
Components","YOUNG",0.0127025877114967,0.00690575385755604
"198",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ships","Army","YOUNG",0.00109175021691974,0.000769797263195951
"199",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ships","Navy","YOUNG",0.114889952429501,0.0513065636623283
"200",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ships","Air Force","YOUNG",3.33590021691974e-05,3.72707881417209e-05
"201",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ships","DLA","YOUNG",0.00940240021691974,0.0120430374186551
"202",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Ships","Additional
DoD
Components","YOUNG",0.00931730047722343,0.00921894486623283
"203",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","Army","YOUNG",0.401789445921909,1.46311149359725
"204",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","Navy","YOUNG",0.246870953893709,0.281544336764281
"205",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","Air Force","YOUNG",0.550237432483731,0.389130009002169
"206",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","DLA","YOUNG",0.127914321041215,0.122286987707881
"207",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","Additional
DoD
Components","YOUNG",0.0200683483947939,0.0229721679211858
"208",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Clothing & Subsistence","Army","YOUNG",0.260795765900217,0.148129105542299
"209",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Clothing & Subsistence","Navy","YOUNG",0.031881110032538,0.0239686508496023
"210",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Clothing & Subsistence","Air Force","YOUNG",0.00755761557483731,0.00797565810556761
"211",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Clothing & Subsistence","DLA","YOUNG",0.909290498676789,0.880988412885032
"212",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Clothing & Subsistence","Additional
DoD
Components","YOUNG",0.00999625245119306,0.00620232637744035
"213",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","Army","YOUNG",0.699826085347072,0.702853496218366
"214",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","Navy","YOUNG",0.293510715889371,0.278655958987708
"215",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","Air Force","YOUNG",0.376280669501085,0.230319049154013
"216",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","DLA","YOUNG",0.104927182700651,0.0966775959978308
"217",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","Military
Health","YOUNG",2.18655097613883e-05,NA
"218",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Electronics & Communications","Additional
DoD
Components","YOUNG",0.0681538169305857,0.0541423628705712
"219",2008-03-31,"Q2",2008-09-30,1.33698630136986,"Engines & Power Plants","Army","YOUNG",0.0895373597288503,0.0825577268763557
