"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Aircraft","Army","YOUNG",0.0235656277359973,NA
"2",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Aircraft","Army","YOUNG",0.105678226310473,NA
"3",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Aircraft","Army","YOUNG",0.288578801995662,0.13927421868071
"4",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Aircraft","Army","YOUNG",0.196303111030369,0.196853379778834
"5",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Aircraft","Army","YOUNG",3.72919027219089,1.40469072840564
"6",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Aircraft","Army","YOUNG",0.258354762678959,1.39461604863341
"7",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Aircraft","Army","YOUNG",0.401789445921909,1.46311149359725
"8",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Aircraft","Army","YOUNG",0.602129976496746,0.420758061699205
"9",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Aircraft","Army","YOUNG",0.592104317559653,0.532007913326103
"10",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Aircraft","Army","YOUNG",0.181351836984816,0.458528710347072
"11",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Aircraft","Army","YOUNG",0.300171690563991,0.357875948369487
"12",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Aircraft","Army","YOUNG",0.257405397830803,0.246309641793203
"13",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Aircraft","Army","YOUNG",0.852845523557484,0.470140870650759
"14",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Aircraft","Army","YOUNG",0.167319649913401,0.425856857100562
"15",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Aircraft","Army","YOUNG",2.74291528337302,1.2543601522813
"16",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Aircraft","Army","YOUNG",0.150441336339034,1.02022542320849
"17",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Aircraft","Army","YOUNG",0.226450286003464,1.03993563523851
"18",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Aircraft","Army","YOUNG",0.0226139888828751,0.133168537075124
"19",2009-07-01,2009-09-30,"Q4",2009-09-30,2.75068493150685,"Aircraft","Army","YOUNG",0.22227004739121,0.157111440759183
"20",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Aircraft","Army","YOUNG",0.149010645475211,0.131298227249765
"21",2009-10-01,2009-12-31,"Q1",2010-09-30,3.0027397260274,"Aircraft","Army","YOUNG",0.0304319104621309,0.133904201109517
