"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ServicesCategory.sum","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","Army","YOUNG",1.74122619905713,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","Navy","YOUNG",1.06908728021102,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","Air Force","YOUNG",0.937994770591537,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","DLA","YOUNG",0.604611773812998,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","MDA","YOUNG",0.000226945785161073,NA
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Products (All)","Additional DoD Components","YOUNG",0.0560952463014929,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","Army","YOUNG",0.087428738893254,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","Navy","YOUNG",0.0434422692221349,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","Air Force","YOUNG",0.0399896596138736,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","DLA","YOUNG",0.000394202738803457,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","MDA","YOUNG",0.00112227522729824,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"R&D","Additional DoD Components","YOUNG",0.0316207161297564,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","Army","YOUNG",0.965416843113705,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","Navy","YOUNG",0.361846441598384,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","Air Force","YOUNG",0.324344599685711,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","DLA","YOUNG",0.0249683429116624,NA
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","MilitaryHealth","YOUNG",3.6641598383657e-05,NA
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.0708568726680884,NA
"19",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","Army","YOUNG",3.7103262680211,NA
"20",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","Navy","YOUNG",1.93948005831182,NA
"21",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","Air Force","YOUNG",1.18351110233472,NA
"22",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","DLA","YOUNG",3.01275572059715,NA
"23",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","MDA","YOUNG",0.000361050622965541,NA
"24",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","MilitaryHealth","YOUNG",7.73301717364463e-05,NA
"25",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Products (All)","Additional DoD Components","YOUNG",0.263198707621506,NA
"26",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","Army","YOUNG",0.191723656527107,NA
"27",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","Navy","YOUNG",0.192713375945673,NA
"28",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","Air Force","YOUNG",0.203527796048939,NA
"29",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","DLA","YOUNG",0.00222323425749242,NA
"30",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","MDA","YOUNG",0.00859286227410484,NA
"31",2007-09-30,"Q4",2007-09-30,0.832876712328767,"R&D","Additional DoD Components","YOUNG",0.0552444695476484,NA
"32",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","Army","YOUNG",2.32766064194635,NA
"33",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","Navy","YOUNG",1.4186951506095,NA
"34",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","Air Force","YOUNG",1.02740338086205,NA
"35",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","DLA","YOUNG",0.0418199742619823,NA
"36",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","MDA","YOUNG",0.00227188236614659,NA
"37",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","MilitaryHealth","YOUNG",1.18754517903244e-05,NA
"38",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.39592521672466,NA
"39",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","Army","YOUNG",6.43041945635874,3.96065730781232
"40",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","Navy","YOUNG",2.91532327352116,1.97463020401467
"41",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","Air Force","YOUNG",2.7660910510046,1.62919897464362
"42",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","DLA","YOUNG",2.72404514670558,2.11380421370524
"43",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","MDA","YOUNG",0.00105670445616792,0.000548233621431511
"44",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","MilitaryHealth","YOUNG",0.000238316309350095,NA
"45",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Products (All)","Additional DoD Components","YOUNG",0.380431347962734,0.233241767295244
"46",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","Army","YOUNG",0.563300176114042,0.280817523844801
"47",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","Navy","YOUNG",0.341519127040072,0.192558257402627
"48",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","Air Force","YOUNG",0.351464886305983,0.198327447322932
"49",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","DLA","YOUNG",0.00158522310023572,0.00140088669884387
"50",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","MDA","YOUNG",0.0143923403300034,0.00803582594380215
"51",2007-09-30,"Q4",2007-09-30,0.917808219178082,"R&D","Additional DoD Components","YOUNG",0.106572198159165,0.0644791279455233
"52",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","Army","YOUNG",8.99933170097654,4.09746972867886
"53",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","Navy","YOUNG",5.05950757446402,2.28001638889063
"54",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","Air Force","YOUNG",3.71348410003367,1.68841069352714
"55",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","DLA","YOUNG",0.261252600606129,0.109346972593258
"56",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","MDA","YOUNG",0.00412912805028623,NA
"57",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.000807276383432484,0.000285264477868822
"58",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.564981457054664,0.343921182149138
"59",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Navy","YOUNG",1.19616343023908e-05,NA
"60",2007-12-31,"Q1",2008-09-30,1,"Products (All)","Army","YOUNG",1.70840731732104,3.94971768056696
"61",2007-12-31,"Q1",2008-09-30,1,"Products (All)","Navy","YOUNG",2.88604091507592,2.5802814156363
"62",2007-12-31,"Q1",2008-09-30,1,"Products (All)","Air Force","YOUNG",0.667804440976139,1.53913553143849
"63",2007-12-31,"Q1",2008-09-30,1,"Products (All)","DLA","YOUNG",3.36001777523861,3.03227288084711
"64",2007-12-31,"Q1",2008-09-30,1,"Products (All)","MDA","YOUNG",2.07472885032538e-05,0.000479500789212238
"65",2007-12-31,"Q1",2008-09-30,1,"Products (All)","Additional DoD Components","YOUNG",0.11947181791757,0.25436729116727
"66",2007-12-31,"Q1",2008-09-30,1,"R&D","Army","YOUNG",0.111326580368764,0.288783471003304
"67",2007-12-31,"Q1",2008-09-30,1,"R&D","Navy","YOUNG",0.109649286572668,0.214627263186138
"68",2007-12-31,"Q1",2008-09-30,1,"R&D","Air Force","YOUNG",0.0488453769414317,0.201279353098785
"69",2007-12-31,"Q1",2008-09-30,1,"R&D","DLA","YOUNG",3.36225596529284e-05,0.00128069330579369
"70",2007-12-31,"Q1",2008-09-30,1,"R&D","MDA","YOUNG",0.00632767678958785,0.00977095979789869
"71",2007-12-31,"Q1",2008-09-30,1,"R&D","Additional DoD Components","YOUNG",0.0221888400650759,0.0613351692572964
"72",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","Army","YOUNG",1.32803296772234,4.21834177021508
"73",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","Navy","YOUNG",1.64259730693059,2.70693334400137
"74",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","Air Force","YOUNG",1.15241279244035,1.96443342444536
"75",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","DLA","YOUNG",0.10330946845987,0.135460681109327
"76",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","MDA","YOUNG",0.00080381453362256,0.00240160831668513
"77",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.0597292567895878,0.0201828028749369
"78",2007-12-31,"Q1",2008-09-30,1,"Services (Non-R&D)","Additional DoD Components","YOUNG",1.13131968393709,0.697408785905472
"79",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","Army","YOUNG",0,NA
"80",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","Army","YOUNG",2.64585472603037,3.59489383323672
"81",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","Navy","YOUNG",0.623724832624729,2.14169634040727
"82",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","Air Force","YOUNG",0.40524884005423,1.27971477734499
"83",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","DLA","YOUNG",1.72155838416486,2.60187376870302
"84",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","MDA","YOUNG",0.000784265726681128,0.000620572490450767
"85",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Products (All)","Additional DoD Components","YOUNG",0.103938152700651,0.201280439526985
"86",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","Army","YOUNG",0.105776150097614,0.260134302193473
"87",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","Navy","YOUNG",0.0582421717462039,0.169803528452981
"88",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","Air Force","YOUNG",0.153176480206074,0.184495581151163
"89",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","DLA","YOUNG",0.000479580260303688,0.000699475306730777
"90",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","MDA","YOUNG",0.00663119197396963,0.00911706969785362
"91",2007-12-31,"Q1",2008-09-30,1.08493150684932,"R&D","Additional DoD Components","YOUNG",0.0275645289696312,0.0521085223979574
"92",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","Army","YOUNG",1.87573305903471,4.06769924257786
"93",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","Navy","YOUNG",1.17974394570499,2.62728294236653
"94",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","Air Force","YOUNG",0.868164850379609,1.91135391428454
"95",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","DLA","YOUNG",0.0558214405422993,0.140127836536099
"96",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","MDA","YOUNG",0.00528968438177874,0.00340754232189584
"97",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.0506763912147505,0.0370709747959236
"98",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.627905243286334,0.77473546142603
"99",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Unlabeled","Army","YOUNG",0,NA
"100",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Unlabeled","Additional DoD Components","YOUNG",5.99621908893709e-05,NA
"101",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","Army","YOUNG",7.29667147781996,3.88364450705712
"102",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","Navy","YOUNG",2.30231427571584,1.9373600078055
"103",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","Air Force","YOUNG",1.06650734183297,0.71318687428778
"104",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","DLA","YOUNG",3.26755283798265,2.78304299912871
"105",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Products (All)","Additional DoD Components","YOUNG",0.106638033698482,0.110016001438901
"106",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","Army","YOUNG",0.220858807505423,0.145987179323933
"107",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","Navy","YOUNG",0.208526869468547,0.12547277592914
"108",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","Air Force","YOUNG",0.345066952321041,0.182362936489516
"109",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","DLA","YOUNG",0.00306744607375271,0.00119354963123644
"110",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","MDA","YOUNG",0.129194908893709,0.0473845925524223
"111",2007-12-31,"Q1",2008-09-30,1.16712328767123,"R&D","Additional DoD Components","YOUNG",0.0585082938720174,0.0360872209689082
"112",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","Army","YOUNG",2.50561678855748,1.90312760510484
"113",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","Navy","YOUNG",1.29392286601952,1.3720880395517
"114",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","Air Force","YOUNG",1.27489291582429,1.09849018621475
"115",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","DLA","YOUNG",0.0372186145986985,0.0654498412002892
"116",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","MDA","YOUNG",0.0102339924078091,0.0054424971077368
"117",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","MilitaryHealth","YOUNG",0.000366,0.0369238826681128
"118",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Services (Non-R&D)","Additional DoD Components","YOUNG",0.695286258991323,0.818170395404917
"119",2007-12-31,"Q1",2008-09-30,1.16712328767123,"Unlabeled","Army","YOUNG",0,0
"120",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","Army","YOUNG",2.97619936663774,4.30624185682936
"121",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","Navy","YOUNG",1.26702344701735,1.39768751845264
"122",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","Air Force","YOUNG",0.916183857136659,0.795980013007954
"123",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","DLA","YOUNG",1.71382311887202,2.23431144700651
"124",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","MDA","YOUNG",6.35140997830803e-06,0.000270454808387563
"125",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","MilitaryHealth","YOUNG",-2.7114967462039e-09,0.000105214589863265
"126",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Products (All)","Additional DoD Components","YOUNG",0.0997995950650759,0.103458593821403
"127",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","Army","YOUNG",0.0584749197071584,0.128369959103398
"128",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","Navy","YOUNG",0.250984107082429,0.172584382765727
"129",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","Air Force","YOUNG",0.408366321930586,0.3022032514859
"130",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","DLA","YOUNG",1.06290672451193e-05,0.00118588513376717
"131",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","MDA","YOUNG",0.0325724718004338,0.0561328575560376
"132",2008-03-31,"Q2",2008-09-30,1.25205479452055,"R&D","Additional DoD Components","YOUNG",0.0553571086008677,0.0471433104808388
"133",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","Army","YOUNG",2.29082753149675,2.22405912636298
"134",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","Navy","YOUNG",1.21785922595445,1.23050867922632
"135",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","Air Force","YOUNG",0.948976264913232,1.03067801037238
"136",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","DLA","YOUNG",0.0431602718980477,0.0454001090130152
"137",2008-03-31,"Q2",2008-09-30,1.25205479452055,"Services (Non-R&D)","MDA","YOUNG",0.0083415010845987,0.00795505929139552
