"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","Army","YOUNG",0.423826951689303,NA
"2",2007-08-01,2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","Army","YOUNG",1.00472139685711,NA
"3",2007-09-01,2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","Army","YOUNG",3.54416325539342,1.65757053464661
"4",2007-10-01,2007-12-31,"Q1",2008-09-30,1,"Large","Army","YOUNG",0.801362305498915,1.78341565258315
"5",2007-11-01,2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","Army","YOUNG",1.67057850652928,2.00536802247387
"6",2007-12-01,2007-12-31,"Q1",2008-09-30,1.16712328767123,"Large","Army","YOUNG",1.46620590408894,1.31271557203905
"7",2008-01-01,2008-03-31,"Q2",2008-09-30,1.25205479452055,"Large","Army","YOUNG",1.52739767893709,1.5547273631851
"8",2008-02-01,2008-03-31,"Q2",2008-09-30,1.33698630136986,"Large","Army","YOUNG",1.88998690854664,1.62786349719089
"9",2008-03-01,2008-03-31,"Q2",2008-09-30,1.41643835616438,"Large","Army","YOUNG",2.237698239859,1.88502760911424
"10",2008-04-01,2008-06-30,"Q3",2008-09-30,1.5013698630137,"Large","Army","YOUNG",2.4164944262256,2.18139319154375
"11",2008-05-01,2008-06-30,"Q3",2008-09-30,1.58356164383562,"Large","Army","YOUNG",3.93029008073753,2.86149424894071
"12",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Large","Army","YOUNG",1.59951369085683,2.64876606593999
"13",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Large","Army","YOUNG",2.5472086945987,2.69233748873102
"14",2008-08-01,2008-09-30,"Q4",2008-09-30,1.83561643835616,"Large","Army","YOUNG",1.92364568922993,2.02345602489516
