"","Fiscal.Year","SinceFirstFiscalYear","Vendor.Size.sum","SubCustomer.component","ATLpolicy","Obligation.2014"
"1",2007-09-30,0.747945205479452,"Large","Army","YOUNG",0.423826951689303
"2",2007-09-30,0.747945205479452,"Large","Navy","YOUNG",0.675491867964979
"3",2007-09-30,0.747945205479452,"Large","Air Force","YOUNG",0.200886126781906
"4",2007-09-30,0.747945205479452,"Large","DLA","YOUNG",0.316151134145246
"5",2007-09-30,0.747945205479452,"Large","Additional
DoD
Components","YOUNG",0.0382986852284207
"6",2007-09-30,0.747945205479452,"Large (Big 6)","Army","YOUNG",0.851060319598159
"7",2007-09-30,0.747945205479452,"Large (Big 6)","Navy","YOUNG",0.348447405432708
"8",2007-09-30,0.747945205479452,"Large (Big 6)","Air Force","YOUNG",0.792379526433943
"9",2007-09-30,0.747945205479452,"Large (Big 6)","DLA","YOUNG",0.0219054077786508
"10",2007-09-30,0.747945205479452,"Large (Big 6)","Additional
DoD
Components","YOUNG",0.016302835660568
"11",2007-09-30,0.747945205479452,"Medium","Army","YOUNG",0.738148618341003
"12",2007-09-30,0.747945205479452,"Medium","Navy","YOUNG",0.216758699753059
"13",2007-09-30,0.747945205479452,"Medium","Air Force","YOUNG",0.0994013240543271
"14",2007-09-30,0.747945205479452,"Medium","DLA","YOUNG",0.117620485419239
"15",2007-09-30,0.747945205479452,"Medium","MDA","YOUNG",0.000210996744864744
"16",2007-09-30,0.747945205479452,"Medium","Military
Health","YOUNG",3.6641598383657e-05
"17",2007-09-30,0.747945205479452,"Medium","Additional
DoD
Components","YOUNG",0.0479804133123807
"18",2007-09-30,0.747945205479452,"Small","Army","YOUNG",0.550524670512964
"19",2007-09-30,0.747945205479452,"Small","Navy","YOUNG",0.2301703546077
"20",2007-09-30,0.747945205479452,"Small","Air Force","YOUNG",0.202158561746548
"21",2007-09-30,0.747945205479452,"Small","DLA","YOUNG",0.174143806880682
"22",2007-09-30,0.747945205479452,"Small","MDA","YOUNG",0.00113822426759457
"23",2007-09-30,0.747945205479452,"Small","Additional
DoD
Components","YOUNG",0.0556710737568751
"24",2007-09-30,0.747945205479452,"Unlabeled","Army","YOUNG",0.230511220922662
"25",2007-09-30,0.747945205479452,"Unlabeled","Navy","YOUNG",0.00350766327309462
"26",2007-09-30,0.747945205479452,"Unlabeled","Air Force","YOUNG",0.00750349087439668
"27",2007-09-30,0.747945205479452,"Unlabeled","DLA","YOUNG",0.000153485239645302
"28",2007-09-30,0.747945205479452,"Unlabeled","Additional
DoD
Components","YOUNG",0.000319827141093276
"29",2007-09-30,0.832876712328767,"Large","Army","YOUNG",1.00472139685711
"30",2007-09-30,0.832876712328767,"Large","Navy","YOUNG",0.769408731653384
"31",2007-09-30,0.832876712328767,"Large","Air Force","YOUNG",0.71441372155124
"32",2007-09-30,0.832876712328767,"Large","DLA","YOUNG",1.97479270024694
"33",2007-09-30,0.832876712328767,"Large","MDA","YOUNG",0.000541183073296666
"34",2007-09-30,0.832876712328767,"Large","Military
Health","YOUNG",9.71839712650129e-06
"35",2007-09-30,0.832876712328767,"Large","Additional
DoD
Components","YOUNG",0.306059719923673
"36",2007-09-30,0.832876712328767,"Large (Big 6)","Army","YOUNG",0.590260915534852
"37",2007-09-30,0.832876712328767,"Large (Big 6)","Navy","YOUNG",1.00439305836794
"38",2007-09-30,0.832876712328767,"Large (Big 6)","Air Force","YOUNG",0.692829859479178
"39",2007-09-30,0.832876712328767,"Large (Big 6)","DLA","YOUNG",0.0786560177909979
"40",2007-09-30,0.832876712328767,"Large (Big 6)","MDA","YOUNG",0.00561230216634864
"41",2007-09-30,0.832876712328767,"Large (Big 6)","Additional
DoD
Components","YOUNG",0.161680902491862
"42",2007-09-30,0.832876712328767,"Medium","Army","YOUNG",2.21076884761477
"43",2007-09-30,0.832876712328767,"Medium","Navy","YOUNG",0.879438657907734
"44",2007-09-30,0.832876712328767,"Medium","Air Force","YOUNG",0.488089982433494
"45",2007-09-30,0.832876712328767,"Medium","DLA","YOUNG",0.41973920567965
"46",2007-09-30,0.832876712328767,"Medium","MDA","YOUNG",0.00305202379616119
"47",2007-09-30,0.832876712328767,"Medium","Military
Health","YOUNG",1.18754517903244e-05
"48",2007-09-30,0.832876712328767,"Medium","Additional
DoD
Components","YOUNG",0.117636288685599
"49",2007-09-30,0.832876712328767,"Small","Army","YOUNG",1.75081397565383
"50",2007-09-30,0.832876712328767,"Small","Navy","YOUNG",0.8665797781659
"51",2007-09-30,0.832876712328767,"Small","Air Force","YOUNG",0.505654086496801
"52",2007-09-30,0.832876712328767,"Small","DLA","YOUNG",0.583388181288585
"53",2007-09-30,0.832876712328767,"Small","MDA","YOUNG",0.00202028622741048
"54",2007-09-30,0.832876712328767,"Small","Military
Health","YOUNG",6.7611774609945e-05
