"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","Army","YOUNG",0.423826951689303,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","Navy","YOUNG",0.675491867964979,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","Air Force","YOUNG",0.200886126781906,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","DLA","YOUNG",0.316151134145246,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large","Additional DoD Components","YOUNG",0.0382986852284207,NA
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large (Big 6)","Army","YOUNG",0.851060319598159,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large (Big 6)","Navy","YOUNG",0.348447405432708,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large (Big 6)","Air Force","YOUNG",0.792379526433943,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large (Big 6)","DLA","YOUNG",0.0219054077786508,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Large (Big 6)","Additional DoD Components","YOUNG",0.016302835660568,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","Army","YOUNG",0.738148618341003,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","Navy","YOUNG",0.216758699753059,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","Air Force","YOUNG",0.0994013240543271,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","DLA","YOUNG",0.117620485419239,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","MDA","YOUNG",0.000210996744864744,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","MilitaryHealth","YOUNG",3.6641598383657e-05,NA
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Medium","Additional DoD Components","YOUNG",0.0479804133123807,NA
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","Army","YOUNG",0.550524670512964,NA
"19",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","Navy","YOUNG",0.2301703546077,NA
"20",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","Air Force","YOUNG",0.202158561746548,NA
"21",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","DLA","YOUNG",0.174143806880682,NA
"22",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","MDA","YOUNG",0.00113822426759457,NA
"23",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Small","Additional DoD Components","YOUNG",0.0556710737568751,NA
"24",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Army","YOUNG",0.230511220922662,NA
"25",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Navy","YOUNG",0.00350766327309462,NA
"26",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Air Force","YOUNG",0.00750349087439668,NA
"27",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","DLA","YOUNG",0.000153485239645302,NA
"28",2007-09-30,"Q4",2007-09-30,0.747945205479452,"Unlabeled","Additional DoD Components","YOUNG",0.000319827141093276,NA
"29",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","Army","YOUNG",1.00472139685711,NA
"30",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","Navy","YOUNG",0.769408731653384,NA
"31",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","Air Force","YOUNG",0.71441372155124,NA
"32",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","DLA","YOUNG",1.97479270024694,NA
"33",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","MDA","YOUNG",0.000541183073296666,NA
"34",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","MilitaryHealth","YOUNG",9.71839712650129e-06,NA
"35",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large","Additional DoD Components","YOUNG",0.306059719923673,NA
"36",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","Army","YOUNG",0.590260915534852,NA
"37",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","Navy","YOUNG",1.00439305836794,NA
"38",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","Air Force","YOUNG",0.692829859479178,NA
"39",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","DLA","YOUNG",0.0786560177909979,NA
"40",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","MDA","YOUNG",0.00561230216634864,NA
"41",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Large (Big 6)","Additional DoD Components","YOUNG",0.161680902491862,NA
"42",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","Army","YOUNG",2.21076884761477,NA
"43",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","Navy","YOUNG",0.879438657907734,NA
"44",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","Air Force","YOUNG",0.488089982433494,NA
"45",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","DLA","YOUNG",0.41973920567965,NA
"46",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","MDA","YOUNG",0.00305202379616119,NA
"47",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","MilitaryHealth","YOUNG",1.18754517903244e-05,NA
"48",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Medium","Additional DoD Components","YOUNG",0.117636288685599,NA
"49",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","Army","YOUNG",1.75081397565383,NA
"50",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","Navy","YOUNG",0.8665797781659,NA
"51",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","Air Force","YOUNG",0.505654086496801,NA
"52",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","DLA","YOUNG",0.583388181288585,NA
"53",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","MDA","YOUNG",0.00202028622741048,NA
"54",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","MilitaryHealth","YOUNG",6.7611774609945e-05,NA
"55",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Small","Additional DoD Components","YOUNG",0.128603043978,NA
"56",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Unlabeled","Army","YOUNG",0.673145430833988,NA
"57",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Unlabeled","Navy","YOUNG",0.0310683587720283,NA
"58",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Unlabeled","Air Force","YOUNG",0.0134546292849927,NA
"59",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Unlabeled","DLA","YOUNG",0.000222824110450107,NA
"60",2007-09-30,"Q4",2007-09-30,0.832876712328767,"Unlabeled","Additional DoD Components","YOUNG",0.000388438814681782,NA
"61",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","Army","YOUNG",3.54416325539342,1.65757053464661
"62",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","Navy","YOUNG",2.4363060752722,1.29373555829685
"63",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","Air Force","YOUNG",1.84064088995398,0.918646912762375
"64",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","DLA","YOUNG",1.22443944137389,1.17179442525536
"65",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","MDA","YOUNG",0.00538662027163543,NA
"66",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","MilitaryHealth","YOUNG",0.000126325109439892,NA
"67",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large","Additional DoD Components","YOUNG",0.436375567471097,0.260244657541063
"68",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","Army","YOUNG",0.851130941104501,0.764150725412504
"69",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","Navy","YOUNG",1.10297607990796,0.818605514569536
"70",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","Air Force","YOUNG",0.969427372600741,0.818212252837954
"71",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","DLA","YOUNG",0.0591739933662588,0.0532451396453025
"72",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","MDA","YOUNG",0.000515166685374341,NA
"73",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Large (Big 6)","Additional DoD Components","YOUNG",0.151735291413178,0.109906343188536
"74",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","Army","YOUNG",4.57065245488832,2.50652330694803
"75",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","Navy","YOUNG",2.16000072904928,1.08539936223669
"76",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","Air Force","YOUNG",1.64294396831294,0.743478424933588
"77",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","DLA","YOUNG",1.0225339716691,0.519964554255996
"78",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","MDA","YOUNG",0.0014029891121338,0.00155533655105324
"79",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","MilitaryHealth","YOUNG",4.8111505219441e-05,3.22095184644741e-05
"80",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Medium","Additional DoD Components","YOUNG",0.215648596262207,0.127088432753395
"81",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","Army","YOUNG",5.35234823278707,2.55122895965129
"82",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","Navy","YOUNG",2.57541658823661,1.22405557367007
"83",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","Air Force","YOUNG",2.29341543665956,1.0004093616343
"84",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","DLA","YOUNG",0.68047319561118,0.479335061260149
"85",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","MDA","YOUNG",0.012273396767314,0.00514396908743967
"86",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","MilitaryHealth","YOUNG",0.000871156078123246,NA
"87",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Small","Additional DoD Components","YOUNG",0.247851435335054,0.14404185102331
"88",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Army","YOUNG",1.67475644927601,0.859471033677554
"89",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Navy","YOUNG",0.0416624641935122,0.0254128287462117
"90",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Air Force","YOUNG",0.0846123698170389,0.0351901633254761
"91",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","DLA","YOUNG",0.000262368391514199,0.000212892580536536
"92",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Unlabeled","Additional DoD Components","YOUNG",0.0003741126950275,0.000360792883600853
"93",2007-12-31,"Q1",2008-09-30,1,"Large","Army","YOUNG",0.801362305498915,1.78341565258315
"94",2007-12-31,"Q1",2008-09-30,1,"Large","Navy","YOUNG",2.23769850328633,1.81447110340397
"95",2007-12-31,"Q1",2008-09-30,1,"Large","Air Force","YOUNG",0.287978523524946,0.947677711676722
"96",2007-12-31,"Q1",2008-09-30,1,"Large","DLA","YOUNG",2.06161922704989,1.75361712289024
"97",2007-12-31,"Q1",2008-09-30,1,"Large","MDA","YOUNG",0.00134301518438178,0.00242360617643796
"98",2007-12-31,"Q1",2008-09-30,1,"Large","MilitaryHealth","YOUNG",0.0507942231670282,0.0169767555578649
"99",2007-12-31,"Q1",2008-09-30,1,"Large","Additional DoD Components","YOUNG",0.960275009088937,0.567570098827902
"100",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","Army","YOUNG",0.412714047570499,0.618035301403284
"101",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","Navy","YOUNG",0.872411676203905,0.993260271493268
"102",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","Air Force","YOUNG",0.708560946041215,0.790272726040378
"103",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","DLA","YOUNG",0.0722751900759219,0.0700350670777262
"104",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","MDA","YOUNG",0.0034880694143167,0.00320517942201323
"105",2007-12-31,"Q1",2008-09-30,1,"Large (Big 6)","Additional DoD Components","YOUNG",0.0487032139804772,0.120706469295172
"106",2007-12-31,"Q1",2008-09-30,1,"Medium","Army","YOUNG",0.778746908112798,2.5200560702053
"107",2007-12-31,"Q1",2008-09-30,1,"Medium","Navy","YOUNG",0.957750910683297,1.3323967658801
"108",2007-12-31,"Q1",2008-09-30,1,"Medium","Air Force","YOUNG",0.452166585976139,0.861066845574192
"109",2007-12-31,"Q1",2008-09-30,1,"Medium","DLA","YOUNG",0.639943322754881,0.69407216670121
"110",2007-12-31,"Q1",2008-09-30,1,"Medium","MDA","YOUNG",0.000825663774403471,0.00176022556089948
"111",2007-12-31,"Q1",2008-09-30,1,"Medium","MilitaryHealth","YOUNG",0.00893503362255965,0.00299834019318981
"112",2007-12-31,"Q1",2008-09-30,1,"Medium","Additional DoD Components","YOUNG",0.106227182440347,0.146504022462718
"113",2007-12-31,"Q1",2008-09-30,1,"Small","Army","YOUNG",0.630587117039046,2.57791644182665
"114",2007-12-31,"Q1",2008-09-30,1,"Small","Navy","YOUNG",0.56354078175705,1.33517904938652
"115",2007-12-31,"Q1",2008-09-30,1,"Small","Air Force","YOUNG",0.405727935347072,1.06826581950114
"116",2007-12-31,"Q1",2008-09-30,1,"Small","DLA","YOUNG",0.679656686030369,0.647839354310044
"117",2007-12-31,"Q1",2008-09-30,1,"Small","MDA","YOUNG",0.00149549023861171,0.00526305774444538
"118",2007-12-31,"Q1",2008-09-30,1,"Small","Additional DoD Components","YOUNG",0.157560664175705,0.178005047829586
"119",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","Army","YOUNG",0.524356487190889,0.957419455766963
"120",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","Navy","YOUNG",0.00688563664859002,0.0265388198713768
"121",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","Air Force","YOUNG",0.0146286194685466,0.0375652061901928
"122",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","DLA","YOUNG",0.00986644034707158,0.00345054428301196
"123",2007-12-31,"Q1",2008-09-30,1,"Unlabeled","Additional DoD Components","YOUNG",0.000214272234273319,0.000325607914660867
"124",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","Army","YOUNG",1.67057850652928,2.00536802247387
"125",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","Navy","YOUNG",0.365939614598698,1.67998139771908
"126",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","Air Force","YOUNG",0.543843552668113,0.890820988715679
"127",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","DLA","YOUNG",0.690375637277657,1.32547810190048
"128",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","MDA","YOUNG",0.00109607483731019,0.0026085700977758
"129",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","MilitaryHealth","YOUNG",0.0506763912147505,0.0338656464970729
"130",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large","Additional DoD Components","YOUNG",0.362640577863341,0.586430384807791
"131",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","Army","YOUNG",0.496339565694143,0.586728184789714
"132",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","Navy","YOUNG",0.302736731160521,0.759374829090794
"133",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","Air Force","YOUNG",0.525243762386117,0.734410693676024
"134",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","DLA","YOUNG",0.0752563721041215,0.0689018518487674
"135",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","MDA","YOUNG",0.00226715943600868,0.00209013184523324
"136",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Large (Big 6)","Additional DoD Components","YOUNG",0.0543010752169197,0.0849131935368582
"137",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","Army","YOUNG",1.04651504287419,2.1319714686251
"138",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","Navy","YOUNG",0.786563683655098,1.30143844112922
"139",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","Air Force","YOUNG",0.175927678210412,0.757012744166498
"140",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","DLA","YOUNG",0.381133900065076,0.681203731496352
"141",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","MDA","YOUNG",0.00513068763557484,0.0024531135073707
"142",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Medium","Additional DoD Components","YOUNG",0.25195994005423,0.191278572918928
"143",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Small","Army","YOUNG",0.881885699295011,2.28827368304037
"144",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Small","Navy","YOUNG",0.398878450650759,1.17927860688147
"145",2007-12-31,"Q1",2008-09-30,1.08493150684932,"Small","Air Force","YOUNG",0.17732034643167,0.958821239479433
