"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ERS","Army","YOUNG",0.0617564959030194,NA
"2",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ERS","Navy","YOUNG",0.0410275804018408,NA
"3",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ERS","Air Force","YOUNG",0.0377747375799753,NA
"4",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ERS","DLA","YOUNG",0.000339203737793243,NA
"5",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ERS","Additional DoD Components","YOUNG",0.00347301156134246,NA
"6",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FRS&C","Army","YOUNG",0.605537307688854,NA
"7",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FRS&C","Navy","YOUNG",0.143092419373667,NA
"8",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FRS&C","Air Force","YOUNG",0.0947800464698619,NA
"9",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FRS&C","DLA","YOUNG",0.00285379096419351,NA
"10",2007-09-30,"Q4",2007-09-30,0.747945205479452,"FRS&C","Additional DoD Components","YOUNG",0.00115601975530363,NA
"11",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ICT","Army","YOUNG",0.0289440678415086,NA
"12",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ICT","Navy","YOUNG",0.0487374896509148,NA
"13",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ICT","Air Force","YOUNG",0.0345765487709058,NA
"14",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ICT","DLA","YOUNG",0.0173501297227523,NA
"15",2007-09-30,"Q4",2007-09-30,0.747945205479452,"ICT","Additional DoD Components","YOUNG",0.0396327992591761,NA
"16",2007-09-30,"Q4",2007-09-30,0.747945205479452,"MED","Army","YOUNG",0.00701030867661915,NA
"17",2007-09-30,"Q4",2007-09-30,0.747945205479452,"MED","Navy","YOUNG",0.0109757599730609,NA
"18",2007-09-30,"Q4",2007-09-30,0.747945205479452,"MED","Air Force","YOUNG",0.00602054282186553,NA
"19",2007-09-30,"Q4",2007-09-30,0.747945205479452,"MED","DLA","YOUNG",0.000384854641373892,NA
"20",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","Army","YOUNG",0.262168663003704,NA
"21",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","Navy","YOUNG",0.1180131921989,NA
"22",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","Air Force","YOUNG",0.151192724043102,NA
"23",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","DLA","YOUNG",0.00404036384554944,NA
"24",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","MilitaryHealth","YOUNG",3.6641598383657e-05,NA
"25",2007-09-30,"Q4",2007-09-30,0.747945205479452,"PAMS","Additional DoD Components","YOUNG",0.0265950420922662,NA
"26",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","Army","YOUNG",0.0769415303176563,NA
"27",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","Navy","YOUNG",0.237307739241217,NA
"28",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","Air Force","YOUNG",0.245970961106746,NA
"29",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","DLA","YOUNG",0.00579474519025704,NA
"30",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","MilitaryHealth","YOUNG",6.04763722078797e-06,NA
"31",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ERS","Additional DoD Components","YOUNG",0.0656465744303513,NA
"32",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","Army","YOUNG",1.26279990591537,NA
