"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"33",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","Navy","YOUNG",0.410742201335728,NA
"34",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","Air Force","YOUNG",0.248533722808396,NA
"35",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","DLA","YOUNG",0.0192733268604782,NA
"36",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","MDA","YOUNG",1.59613873610955e-05,NA
"37",2007-09-30,"Q4",2007-09-30,0.832876712328767,"FRS&C","Additional DoD Components","YOUNG",0.00135591199910203,NA
"38",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","Army","YOUNG",0.0825406433718711,NA
"39",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","Navy","YOUNG",0.370145971882366,NA
"40",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","Air Force","YOUNG",0.0792210482657986,NA
"41",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","DLA","YOUNG",0.00952678080592659,NA
"42",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","MilitaryHealth","YOUNG",5.82781456953642e-06,NA
"43",2007-09-30,"Q4",2007-09-30,0.832876712328767,"ICT","Additional DoD Components","YOUNG",0.127517327185992,NA
"44",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","Army","YOUNG",0.0323711800651027,NA
"45",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","Navy","YOUNG",0.0739809948703558,NA
"46",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","Air Force","YOUNG",0.0157936371309911,NA
"47",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","DLA","YOUNG",9.19631832977887e-06,NA
"48",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","MilitaryHealth","YOUNG",0,NA
"49",2007-09-30,"Q4",2007-09-30,0.832876712328767,"MED","Additional DoD Components","YOUNG",6.45639241216747e-05,NA
"50",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","Army","YOUNG",0.87300738227635,NA
"51",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","Navy","YOUNG",0.326518243279829,NA
"52",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","Air Force","YOUNG",0.437884011550118,NA
"53",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","DLA","YOUNG",0.00721592508699068,NA
"54",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","MDA","YOUNG",0.0022559209787855,NA
"55",2007-09-30,"Q4",2007-09-30,0.832876712328767,"PAMS","Additional DoD Components","YOUNG",0.201340839185094,NA
"56",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","Army","YOUNG",0.435298535020765,0.19133218708048
"57",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","Navy","YOUNG",0.379608298349983,0.219314539331014
"58",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","Air Force","YOUNG",0.442115889673364,0.241953862786695
"59",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","DLA","YOUNG",0.00905230578067123,0.00506208490290717
"60",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","MDA","YOUNG",1.44999438769783e-05,NA
"61",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","MilitaryHealth","YOUNG",0.000690214423616567,NA
"62",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ERS","Additional DoD Components","YOUNG",0.0698263329217645,0.0463153063044861
"63",2007-09-30,"Q4",2007-09-30,0.917808219178082,"FRS&C","Army","YOUNG",5.59176101554608,2.48669940971677
"64",2007-09-30,"Q4",2007-09-30,0.917808219178082,"FRS&C","Navy","YOUNG",1.93231077154563,0.828715130751674
"65",2007-09-30,"Q4",2007-09-30,0.917808219178082,"FRS&C","Air Force","YOUNG",1.76315153366259,0.702155100980282
"66",2007-09-30,"Q4",2007-09-30,0.917808219178082,"FRS&C","DLA","YOUNG",0.182257813559322,0.0681283104613312
"67",2007-09-30,"Q4",2007-09-30,0.917808219178082,"FRS&C","Additional DoD Components","YOUNG",0.0093228683915142,0.00394493338197329
"68",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","Army","YOUNG",0.455862511965428,0.189115741059603
"69",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","Navy","YOUNG",1.43620712799416,0.618363529842481
"70",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","Air Force","YOUNG",0.171670819182849,0.0951561387398511
"71",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","DLA","YOUNG",0.0357342810753171,0.020870397201332
"72",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","MilitaryHealth","YOUNG",7.23364013918509e-05,NA
"73",2007-09-30,"Q4",2007-09-30,0.917808219178082,"ICT","Additional DoD Components","YOUNG",0.305188223066562,0.15744611650391
"74",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","Army","YOUNG",0.106098676518128,0.0484933884199499
"75",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","Navy","YOUNG",0.0477551150970928,0.0442372899801699
"76",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","Air Force","YOUNG",0.0577925246380065,0.0265355681969544
"77",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","DLA","YOUNG",0.00032770681333483,0.000240585924346167
"78",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","MilitaryHealth","YOUNG",0,NA
"79",2007-09-30,"Q4",2007-09-30,0.917808219178082,"MED","Additional DoD Components","YOUNG",0.00046346728027837,NA
"80",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","Army","YOUNG",2.41031096192614,1.18182900240207
"81",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","Navy","YOUNG",1.26362626147716,0.569385898985296
"82",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","Air Force","YOUNG",1.27875333287687,0.622610022823362
"83",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","DLA","YOUNG",0.0338804933774834,0.0150455941033412
"84",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","MDA","YOUNG",0.00411462810640925,NA
"85",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","MilitaryHealth","YOUNG",4.47255584240656e-05,NA
"86",2007-09-30,"Q4",2007-09-30,0.917808219178082,"PAMS","Additional DoD Components","YOUNG",0.180180565394545,0.136038815557302
"87",2007-12-31,"Q1",2008-09-30,1,"ERS","Army","YOUNG",0.136338402516269,0.21619282261823
"88",2007-12-31,"Q1",2008-09-30,1,"ERS","Navy","YOUNG",0.322391944110629,0.313102660567276
"89",2007-12-31,"Q1",2008-09-30,1,"ERS","Air Force","YOUNG",0.412279140488069,0.36678866375606
"90",2007-12-31,"Q1",2008-09-30,1,"ERS","DLA","YOUNG",0.0564875069522777,0.023778185974402
"91",2007-12-31,"Q1",2008-09-30,1,"ERS","MDA","YOUNG",5.00184381778742e-05,NA
"92",2007-12-31,"Q1",2008-09-30,1,"ERS","Additional DoD Components","YOUNG",0.462824989099783,0.199432632150633
"93",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Army","YOUNG",0.598824733698482,2.48446188505331
"94",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Navy","YOUNG",0.269656365086768,0.870903112656041
"95",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Air Force","YOUNG",0.262214143340564,0.757966466603849
"96",2007-12-31,"Q1",2008-09-30,1,"FRS&C","DLA","YOUNG",0.028366616626898,0.0766325856822327
"97",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Additional DoD Components","YOUNG",0.00108254879609544,0.00392044306223722
"98",2007-12-31,"Q1",2008-09-30,1,"ICT","Army","YOUNG",0.0720488316160521,0.203483995651117
"99",2007-12-31,"Q1",2008-09-30,1,"ICT","Navy","YOUNG",0.581048685032538,0.795800594969689
"100",2007-12-31,"Q1",2008-09-30,1,"ICT","Air Force","YOUNG",0.11304399,0.121311952482882
"101",2007-12-31,"Q1",2008-09-30,1,"ICT","DLA","YOUNG",0.00413758249457701,0.0164662147919402
"102",2007-12-31,"Q1",2008-09-30,1,"ICT","Additional DoD Components","YOUNG",0.161223074642082,0.197976208298212
"103",2007-12-31,"Q1",2008-09-30,1,"MED","Army","YOUNG",0.11209362318872,0.0835211599239835
"104",2007-12-31,"Q1",2008-09-30,1,"MED","Navy","YOUNG",0.221458958036876,0.114398356001442
"105",2007-12-31,"Q1",2008-09-30,1,"MED","Air Force","YOUNG",0.0426525763123644,0.0387462460271207
"106",2007-12-31,"Q1",2008-09-30,1,"MED","DLA","YOUNG",1.24378958785249e-05,0.000116447009181045
"107",2007-12-31,"Q1",2008-09-30,1,"MED","MilitaryHealth","YOUNG",0.0597292567895878,0.0199097522631959
"108",2007-12-31,"Q1",2008-09-30,1,"MED","Additional DoD Components","YOUNG",4.15997830802603e-05,0.000189876995826768
"109",2007-12-31,"Q1",2008-09-30,1,"PAMS","Army","YOUNG",0.40872737670282,1.23068190696844
"110",2007-12-31,"Q1",2008-09-30,1,"PAMS","Navy","YOUNG",0.248041354663774,0.612728619806921
"111",2007-12-31,"Q1",2008-09-30,1,"PAMS","Air Force","YOUNG",0.322222942299349,0.679620095575444
"112",2007-12-31,"Q1",2008-09-30,1,"PAMS","DLA","YOUNG",0.0143053244902386,0.0184672476515709
"113",2007-12-31,"Q1",2008-09-30,1,"PAMS","MDA","YOUNG",0.000753796095444685,0.00237478172687981
"114",2007-12-31,"Q1",2008-09-30,1,"PAMS","Additional DoD Components","YOUNG",0.506147471616052,0.295889625398564
"115",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ERS","Army","YOUNG",0.184011863991323,0.251882933842786
"116",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ERS","Navy","YOUNG",0.548806628264642,0.416935623575085
"117",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ERS","Air Force","YOUNG",0.263853856279826,0.372749628813753
"118",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ERS","DLA","YOUNG",0.00702544345986985,0.0241884187309396
"119",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ERS","Additional DoD Components","YOUNG",0.358379758232104,0.297010360084551
"120",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","Army","YOUNG",0.877308727136659,2.35596482546041
"121",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","Navy","YOUNG",0.233889753709328,0.811952296780574
"122",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","Air Force","YOUNG",0.136669952613883,0.720678543205678
"123",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","DLA","YOUNG",0.0229644370065076,0.0778629557309092
"124",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","MDA","YOUNG",0.000319956616052061,NA
"125",2007-12-31,"Q1",2008-09-30,1.08493150684932,"FRS&C","Additional DoD Components","YOUNG",0.0087959573318872,0.00640045817316562
"126",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ICT","Army","YOUNG",0.0593167432537961,0.195742695611759
"127",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ICT","Navy","YOUNG",0.123037052852495,0.713430955293065
"128",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ICT","Air Force","YOUNG",0.0350131470281996,0.106575985403683
"129",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ICT","DLA","YOUNG",0.00640114454446855,0.0154243360381209
"130",2007-12-31,"Q1",2008-09-30,1.08493150684932,"ICT","Additional DoD Components","YOUNG",0.0946285689045553,0.187013288871067
"131",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","Army","YOUNG",0.0764954967678959,0.0982292654915812
"132",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","Navy","YOUNG",0.00664051952277657,0.0919515308855819
"133",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","Air Force","YOUNG",0.0061870334164859,0.0355440447889523
"134",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","DLA","YOUNG",4.52684381778742e-06,0.000114890517677047
"135",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","MilitaryHealth","YOUNG",0.0506763912147505,0.0368018826681128
"136",2007-12-31,"Q1",2008-09-30,1.08493150684932,"MED","Additional DoD Components","YOUNG",7.97505422993492e-06,0.000171014039196188
"137",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","Army","YOUNG",0.678600227885032,1.16587952217133
"138",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","Navy","YOUNG",0.267369991355748,0.593012535832227
"139",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","Air Force","YOUNG",0.426440861041215,0.675805712072477
"140",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","DLA","YOUNG",0.0194258886876356,0.0225372355184525
"141",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","MDA","YOUNG",0.00496972776572668,0.00327938398919354
"142",2007-12-31,"Q1",2008-09-30,1.08493150684932,"PAMS","Additional DoD Components","YOUNG",0.166092983763557,0.284140340258051
"143",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","Army","YOUNG",0.185575670704989,0.16864197907086
"144",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","Navy","YOUNG",0.404542481149675,0.425247017841649
"145",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","Air Force","YOUNG",0.363764129099783,0.346632375289226
"146",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","DLA","YOUNG",0.00455519822125813,0.0226893828778019
"147",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","MDA","YOUNG",-2.5614967462039e-05,1.29678048642712e-05
"148",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","MilitaryHealth","YOUNG",0.000366,0.000354087353612452
"149",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ERS","Additional DoD Components","YOUNG",0.298462802939262,0.37322251675705
"150",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","Army","YOUNG",1.13524102513015,0.870458161988431
"151",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","Navy","YOUNG",0.203593490075922,0.235713202957339
"152",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","Air Force","YOUNG",0.185930201182213,0.194938099045553
"153",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","DLA","YOUNG",0.00560484288503254,0.0189786321728127
"154",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","MDA","YOUNG",0.00158677548806941,0.00064089783049419
"155",2007-12-31,"Q1",2008-09-30,1.16712328767123,"FRS&C","Additional DoD Components","YOUNG",0.0044798554989154,0.00478612054229935
"156",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ICT","Army","YOUNG",0.243326546908894,0.124897373926247
"157",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ICT","Navy","YOUNG",0.237180240618221,0.313755326167751
"158",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ICT","Air Force","YOUNG",0.0794802120715835,0.075845783033261
"159",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ICT","DLA","YOUNG",0.00811739447939262,0.00621870717281272
"160",2007-12-31,"Q1",2008-09-30,1.16712328767123,"ICT","Additional DoD Components","YOUNG",0.169418319815618,0.141756654454085
"161",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","Army","YOUNG",0.0698046113774403,0.0861312437780188
"162",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","Navy","YOUNG",0.00101960401301518,0.0763730271908894
"163",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","Air Force","YOUNG",0.00176473001084599,0.0168681132465654
"164",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","DLA","YOUNG",0,5.65491323210412e-06
"165",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","MilitaryHealth","YOUNG",0,0.0368018826681128
"166",2007-12-31,"Q1",2008-09-30,1.16712328767123,"MED","Additional DoD Components","YOUNG",0.000220305856832972,8.99602313810557e-05
"167",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","Army","YOUNG",0.871668934436009,0.652998846341287
"168",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","Navy","YOUNG",0.44758705016269,0.320999465394071
"169",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","Air Force","YOUNG",0.64395364345987,0.464205815600145
"170",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","DLA","YOUNG",0.0189411790130152,0.0175574640636298
"171",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","MDA","YOUNG",0.00867283188720174,0.0047987852494577
"172",2007-12-31,"Q1",2008-09-30,1.16712328767123,"PAMS","Additional DoD Components","YOUNG",0.222704974880694,0.298315143420101
"173",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","Army","YOUNG",0.12121694527115,0.163601493322487
"174",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","Navy","YOUNG",0.176756049544469,0.376701719652928
"175",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","Air Force","YOUNG",0.302483503839479,0.310033829739696
"176",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","DLA","YOUNG",0.00326403422993492,0.00494822530368763
"177",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","MilitaryHealth","YOUNG",4.94577006507592e-06,0.000353720064560548
"178",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ERS","Additional DoD Components","YOUNG",0.115780426843818,0.257540996005061
"179",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","Army","YOUNG",1.05496509170282,1.02250494798988
"180",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","Navy","YOUNG",0.306345058828633,0.247942767537961
"181",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","Air Force","YOUNG",0.122190130986985,0.148263428261027
"182",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","DLA","YOUNG",0.0128805970281996,0.0138166256399132
"183",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","MDA","YOUNG",1.13633405639913e-05,0.000639365148228489
"184",2008-03-31,"Q2",2008-09-30,1.25205479452055,"FRS&C","Additional DoD Components","YOUNG",0.00666353526030369,0.0066464493637021
"185",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ICT","Army","YOUNG",0.107604917895879,0.136749402686189
"186",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ICT","Navy","YOUNG",0.228344870986985,0.196187388152567
"187",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ICT","Air Force","YOUNG",0.0666726934924078,0.060388684197397
"188",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ICT","DLA","YOUNG",0.0212692663774403,0.0119292684671005
"189",2008-03-31,"Q2",2008-09-30,1.25205479452055,"ICT","Additional DoD Components","YOUNG",0.215293010759219,0.159779966493131
"190",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","Army","YOUNG",0.0375510619522777,0.0612837233658713
"191",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","Navy","YOUNG",0.00401961729934924,0.003893246945047
"192",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","Air Force","YOUNG",0.00206942109544469,0.00334039484092552
"193",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","DLA","YOUNG",1.08459869848156e-05,5.12427693420101e-06
"194",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","MilitaryHealth","YOUNG",0.222705860954447,0.0911274173897325
"195",2008-03-31,"Q2",2008-09-30,1.25205479452055,"MED","Additional DoD Components","YOUNG",1.01409978308026e-05,7.94739696312364e-05
"196",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","Army","YOUNG",0.96948951467462,0.839919558998554
"197",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","Navy","YOUNG",0.502393629295011,0.405783556937816
"198",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","Air Force","YOUNG",0.455560515498915,0.508651673333333
"199",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","DLA","YOUNG",0.00573552827548807,0.0147008653253796
"200",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","MDA","YOUNG",0.00833013774403471,0.00732423246565437
"201",2008-03-31,"Q2",2008-09-30,1.25205479452055,"PAMS","Additional DoD Components","YOUNG",0.256074288416486,0.214957415686912
"202",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ERS","Army","YOUNG",0.236057926117137,0.180950180697758
"203",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ERS","Navy","YOUNG",0.235667821637744,0.272322117443962
"204",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ERS","Air Force","YOUNG",1.16468238090022,0.61031000461316
"205",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ERS","DLA","YOUNG",0.00317463407809111,0.00366462217642805
"206",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ERS","Additional DoD Components","YOUNG",0.18202003675705,0.198754422180043
"207",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","Army","YOUNG",1.57866247854664,1.2562895317932
"208",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","Navy","YOUNG",0.371777186887202,0.293905245263919
"209",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","Air Force","YOUNG",0.121813213438178,0.143311181869125
"210",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","DLA","YOUNG",0.0192788439804772,0.0125880946312364
"211",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","MDA","YOUNG",0,0.000532712942877802
"212",2008-03-31,"Q2",2008-09-30,1.33698630136986,"FRS&C","Additional DoD Components","YOUNG",0.00479503748373102,0.0053128094143167
"213",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ICT","Army","YOUNG",0.0887316192950108,0.146554361366594
"214",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ICT","Navy","YOUNG",0.224020102212581,0.229848404605929
"215",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ICT","Air Force","YOUNG",0.0556664797830803,0.0672731284490239
"216",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ICT","DLA","YOUNG",0.0222549031019523,0.0172138546529284
"217",2008-03-31,"Q2",2008-09-30,1.33698630136986,"ICT","Additional DoD Components","YOUNG",0.0984914404663774,0.161067590347072
"218",2008-03-31,"Q2",2008-09-30,1.33698630136986,"MED","Army","YOUNG",0.0258317369848156,0.0443958034381779
"219",2008-03-31,"Q2",2008-09-30,1.33698630136986,"MED","Navy","YOUNG",0.00531748571583514,0.00345223567606652
"220",2008-03-31,"Q2",2008-09-30,1.33698630136986,"MED","Air Force","YOUNG",0.0123982537635575,0.00541080162328272
"221",2008-03-31,"Q2",2008-09-30,1.33698630136986,"MED","DLA","YOUNG",2.0837852494577e-05,1.05612798264642e-05
"222",2008-03-31,"Q2",2008-09-30,1.33698630136986,"MED","MilitaryHealth","YOUNG",0.000329718004338395,0.0743451929862617
"223",2008-03-31,"Q2",2008-09-30,1.33698630136986,"PAMS","Army","YOUNG",1.33508635420824,1.05874826777296
"224",2008-03-31,"Q2",2008-09-30,1.33698630136986,"PAMS","Navy","YOUNG",0.483806365149675,0.477929014869125
"225",2008-03-31,"Q2",2008-09-30,1.33698630136986,"PAMS","Air Force","YOUNG",0.496095598286334,0.531869919081706
