"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","ProductOrServiceArea","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-12-31,"Q1",2008-09-30,1,"ERS","Army","YOUNG",0.136338402516269,NA
"2",2007-12-31,"Q1",2008-09-30,1,"ERS","Navy","YOUNG",0.322391944110629,NA
"3",2007-12-31,"Q1",2008-09-30,1,"ERS","Air Force","YOUNG",0.412279140488069,NA
"4",2007-12-31,"Q1",2008-09-30,1,"ERS","DLA","YOUNG",0.0564875069522777,NA
"5",2007-12-31,"Q1",2008-09-30,1,"ERS","MDA","YOUNG",5.00184381778742e-05,NA
"6",2007-12-31,"Q1",2008-09-30,1,"ERS","Additional DoD Components","YOUNG",0.462824989099783,NA
"7",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Army","YOUNG",0.598824733698482,NA
"8",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Navy","YOUNG",0.269656365086768,NA
"9",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Air Force","YOUNG",0.262214143340564,NA
"10",2007-12-31,"Q1",2008-09-30,1,"FRS&C","DLA","YOUNG",0.028366616626898,NA
"11",2007-12-31,"Q1",2008-09-30,1,"FRS&C","Additional DoD Components","YOUNG",0.00108254879609544,NA
"12",2007-12-31,"Q1",2008-09-30,1,"ICT","Army","YOUNG",0.0720488316160521,NA
"13",2007-12-31,"Q1",2008-09-30,1,"ICT","Navy","YOUNG",0.581048685032538,NA
"14",2007-12-31,"Q1",2008-09-30,1,"ICT","Air Force","YOUNG",0.11304399,NA
"15",2007-12-31,"Q1",2008-09-30,1,"ICT","DLA","YOUNG",0.00413758249457701,NA
"16",2007-12-31,"Q1",2008-09-30,1,"ICT","Additional DoD Components","YOUNG",0.161223074642082,NA
"17",2007-12-31,"Q1",2008-09-30,1,"MED","Army","YOUNG",0.11209362318872,NA
"18",2007-12-31,"Q1",2008-09-30,1,"MED","Navy","YOUNG",0.221458958036876,NA
"19",2007-12-31,"Q1",2008-09-30,1,"MED","Air Force","YOUNG",0.0426525763123644,NA
"20",2007-12-31,"Q1",2008-09-30,1,"MED","DLA","YOUNG",1.24378958785249e-05,NA
"21",2007-12-31,"Q1",2008-09-30,1,"MED","MilitaryHealth","YOUNG",0.0597292567895878,NA
"22",2007-12-31,"Q1",2008-09-30,1,"MED","Additional DoD Components","YOUNG",4.15997830802603e-05,NA
"23",2007-12-31,"Q1",2008-09-30,1,"PAMS","Army","YOUNG",0.40872737670282,NA
"24",2007-12-31,"Q1",2008-09-30,1,"PAMS","Navy","YOUNG",0.248041354663774,NA
"25",2007-12-31,"Q1",2008-09-30,1,"PAMS","Air Force","YOUNG",0.322222942299349,NA
